,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,first_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12090,0.4178480803966522,-0.17131240665912628,True,[12086.],[0.58916049],[0.58916049],63,64,"[12025 12026 12027 12028 12029 12030 12031 12032 12033 12034 12035 12036
 12037 12038 12039 12040 12041 12042 12043 12044 12045 12046 12047 12048
 12049 12050 12051 12052 12053 12054 12055 12056 12057 12058 12059 12060
 12061 12062 12064 12065 12066 12067 12068 12069 12070 12071 12072 12073
 12074 12075 12076 12077 12078 12079 12081 12082 12083 12084 12085 12086
 12087 12088 12089 12090]",0,301,0,46979269,7497667134,48012787,7545679921,-0.8643138408660889
1,12171,6.600631237030029,6.07244348526001,False,[12157. 12153.],[0.10345793 0.42472982],[0.10345793 0.52818775],363,64,"[12107 12108 12109 12110 12111 12112 12113 12114 12115 12116 12117 12118
 12119 12120 12121 12122 12123 12124 12125 12126 12127 12128 12130 12131
 12132 12133 12134 12135 12136 12137 12138 12139 12140 12141 12142 12143
 12144 12145 12146 12147 12148 12149 12150 12151 12152 12153 12154 12155
 12156 12157 12158 12159 12160 12161 12162 12163 12164 12165 12166 12167
 12168 12169 12170 12171]",301,301,0,45525457,40696314841,407322021,41103636862,7.855581283569336
2,12440,4.081359386444092,0.8293710947036743,False,[12439. 12436. 12413.],[2.72295749 0.19683313 0.33219767],[2.72295749 2.91979063 3.25198829],363,64,"[12376 12377 12378 12379 12380 12381 12382 12383 12384 12385 12386 12387
 12388 12389 12390 12391 12392 12393 12394 12395 12396 12397 12398 12399
 12400 12401 12402 12403 12404 12405 12406 12407 12408 12409 12410 12411
 12412 12413 12414 12415 12416 12417 12418 12419 12420 12421 12422 12423
 12425 12426 12427 12428 12429 12430 12431 12432 12433 12434 12435 12436
 12437 12438 12439 12440]",301,301,0,47056061,40935123574,632968753,41568092327,6.499251842498779
3,12550,1.1073442697525024,0.6854729652404785,False,[12512. 12539. 12546.],[0.00328112 0.08129191 0.33729827],[0.00328112 0.08457303 0.4218713 ],363,64,"[12483 12484 12485 12486 12487 12488 12489 12490 12491 12492 12493 12494
 12495 12496 12497 12499 12500 12501 12502 12503 12504 12505 12506 12507
 12508 12509 12510 12511 12512 12513 12514 12515 12516 12517 12518 12519
 12520 12521 12522 12523 12524 12525 12526 12527 12528 12529 12530 12531
 12532 12533 12534 12535 12536 12537 12538 12539 12540 12541 12545 12546
 12547 12548 12549 12550]",301,301,0,46587428,43017242386,610911116,43628153502,-0.8643138408660889
4,12694,0.7780046463012695,0.5670825839042664,False,[12666. 12665.],[-0.03805441  0.24897647],[-0.03805441  0.21092206],363,64,"[12280 12282 12292 12296 12300 12303 12304 12309 12315 12327 12330 12366
 12367 12374 12375 12378 12380 12390 12393 12395 12398 12413 12421 12426
 12428 12432 12435 12436 12437 12443 12449 12450 12458 12461 12462 12466
 12469 12473 12483 12485 12491 12506 12507 12512 12524 12532 12545 12547
 12558 12566 12584 12587 12589 12610 12611 12612 12613 12617 12618 12641
 12661 12665 12666 12694]",301,301,0,48669929,57591084451,420983876,58012068327,1.3764501810073853
5,12834,1.347882628440857,1.3085805177688599,False,[12789. 12766.],[0.00581694 0.03348517],[0.00581694 0.03930211],363,64,"[12759 12760 12761 12762 12763 12764 12765 12766 12767 12768 12769 12770
 12771 12772 12773 12774 12775 12776 12777 12778 12779 12780 12781 12782
 12784 12785 12786 12787 12788 12789 12790 12791 12792 12793 12794 12798
 12799 12800 12802 12803 12804 12805 12806 12808 12810 12813 12814 12815
 12816 12817 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12833 12834]",301,301,0,47138458,43028264025,437343918,43465607943,-0.8643138408660889
6,12908,0.2919173836708069,0.1911316066980362,False,[12838. 12904. 12856. 12831.],[0.01433438 0.00919735 0.0726607  0.00459334],[0.01433438 0.02353173 0.09619243 0.10078578],363,64,"[12803 12804 12805 12810 12813 12815 12817 12818 12819 12822 12824 12825
 12826 12827 12828 12829 12830 12831 12832 12833 12834 12835 12837 12838
 12839 12840 12841 12842 12844 12845 12846 12847 12848 12849 12856 12857
 12859 12860 12861 12865 12871 12872 12873 12874 12875 12878 12879 12880
 12881 12882 12883 12885 12886 12890 12892 12893 12894 12897 12898 12900
 12902 12904 12905 12908]",301,301,0,47633038,44691223168,569081056,45260304224,-0.8643138408660889
7,12921,2.4462411403656006,1.8580572605133057,False,[12914. 12913.],[0.04791641 0.54026747],[0.04791641 0.58818388],363,64,"[12835 12836 12837 12838 12839 12841 12842 12843 12844 12845 12846 12847
 12848 12849 12850 12851 12852 12853 12854 12855 12856 12857 12858 12859
 12860 12861 12871 12872 12873 12874 12878 12879 12880 12881 12882 12885
 12886 12887 12888 12890 12891 12892 12893 12894 12895 12896 12897 12899
 12901 12902 12903 12905 12906 12907 12908 12909 12910 12911 12913 12914
 12915 12916 12917 12921]",301,301,0,47791280,43370181621,457833351,43828014972,-0.8643138408660889
8,13150,6.208749294281006,5.191575527191162,False,[13143. 13139.],[0.06256294 0.95461082],[0.06256294 1.01717377],363,64,"[13082 13083 13084 13085 13086 13087 13088 13089 13090 13091 13092 13093
 13094 13095 13096 13097 13098 13100 13102 13103 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13115 13116 13117 13118 13119 13120
 13121 13122 13124 13125 13126 13127 13128 13129 13130 13131 13132 13133
 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144 13145 13146
 13147 13148 13149 13150]",301,301,0,47168287,42803467688,438326103,43241793791,4.862817764282227
9,13171,0.7060611248016357,0.10714787244796753,False,[13108. 13155. 13152. 13148.],[0.03961074 0.25935864 0.27143587 0.02850799],[0.03961074 0.29896939 0.57040526 0.59891325],363,64,"[13091 13094 13096 13097 13098 13099 13100 13102 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13114 13115 13116 13117 13118 13119
 13120 13121 13122 13123 13124 13125 13126 13127 13128 13129 13130 13131
 13132 13133 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144
 13145 13146 13147 13148 13149 13150 13151 13152 13154 13155 13156 13157
 13160 13162 13170 13171]",301,301,0,47148181,42114906103,643616922,42758523025,-1.1043282747268677
