,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,first_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12129,-1.435693383216858,-1.0017367601394653,False,[12117. 12013.],[0.43302453 0.0009321 ],[0.43302453 0.43395662],363,64,"[11849 11850 11856 11863 11864 11872 11875 11878 11880 11881 11893 11896
 11897 11898 11899 11906 11909 11915 11917 11927 11940 11945 11948 11954
 11959 11963 11964 11967 11970 11971 11976 11990 11995 11998 12005 12013
 12014 12018 12026 12028 12036 12045 12046 12051 12057 12070 12073 12076
 12077 12079 12083 12089 12090 12091 12093 12095 12100 12105 12106 12108
 12115 12117 12123 12129]",301,301,0,51884488,54293821912,508052285,54801874197,-1.6152361631393433
1,12445,-2.531658172607422,-2.3849263191223145,False,[12426. 12415.],[0.06779933 0.07893252],[0.06779933 0.14673185],363,64,"[12324 12328 12330 12331 12332 12336 12338 12340 12342 12343 12344 12346
 12347 12353 12354 12355 12359 12361 12362 12363 12365 12367 12368 12370
 12374 12375 12376 12377 12379 12380 12381 12383 12384 12385 12388 12393
 12394 12395 12400 12401 12403 12404 12405 12406 12407 12408 12411 12413
 12415 12418 12421 12423 12425 12426 12427 12428 12429 12432 12435 12436
 12437 12442 12443 12445]",301,301,0,49632999,47679060823,454178911,48133239734,-0.8643138408660889
2,12531,-0.9921270608901978,-0.43326276540756226,False,[12530. 12460. 12429. 12522. 12426.],[0.48197198 0.00211459 0.03045455 0.01837999 0.02594319],[0.48197198 0.48408657 0.51454112 0.53292111 0.5588643 ],363,64,"[12408 12411 12413 12415 12418 12421 12423 12425 12426 12427 12428 12429
 12432 12435 12436 12437 12442 12443 12445 12449 12450 12454 12455 12458
 12459 12460 12461 12462 12464 12465 12466 12469 12472 12475 12480 12481
 12482 12485 12491 12495 12496 12498 12499 12501 12502 12503 12504 12505
 12506 12511 12512 12513 12516 12517 12518 12519 12520 12522 12524 12525
 12527 12528 12530 12531]",301,301,0,50159738,49099703723,523912133,49623615856,-0.8643138408660889
3,12567,-1.6454803943634033,-0.6498158574104309,False,"[12561. 12087. 12560. 12042. 12101. 10923. 10927. 10930. 10942. 10956.
 10975. 10980. 10982. 10990.]","[ 6.51266575e-01  1.07636094e-01  2.22566128e-01  0.00000000e+00
  0.00000000e+00 -1.56116486e-03  0.00000000e+00  6.56688213e-03
  3.60906124e-04  6.25950098e-03  0.00000000e+00 -8.58306885e-06
  2.04926729e-03  5.28931618e-04]","[0.65126657 0.75890267 0.9814688  0.9814688  0.9814688  0.97990763
 0.97990763 0.98647451 0.98683542 0.99309492 0.99309492 0.99308634
 0.99513561 0.99566454]",363,64,"[10923 10927 10930 10942 10956 10975 10980 10982 10990 11270 11306 11307
 11308 11398 11518 11668 11709 11727 11746 11747 11754 11755 11757 11760
 11764 11791 11808 11817 11839 11861 11910 11925 11930 11933 11936 11946
 11947 11949 11951 11953 11955 11958 11961 11962 11993 12002 12007 12040
 12042 12087 12090 12094 12097 12101 12110 12127 12134 12414 12415 12418
 12526 12560 12561 12567]",301,301,0,50733036,82355934224,736846732,83092780956,-3.3196732997894287
4,12734,-1.0058088302612305,-0.26283353567123413,False,[12694. 12635. 12640. 12661. 12684. 12690.],[0.45704472 0.00092798 0.23962387 0.03554624 0.00573975 0.00409272],[0.45704472 0.45797271 0.69759658 0.73314282 0.73888257 0.74297529],363,64,"[12635 12636 12637 12638 12639 12640 12641 12642 12644 12645 12646 12647
 12648 12649 12650 12651 12652 12653 12654 12655 12656 12657 12658 12660
 12661 12663 12664 12665 12666 12670 12671 12673 12674 12675 12677 12679
 12680 12682 12683 12684 12686 12687 12690 12694 12696 12699 12702 12704
 12706 12708 12710 12712 12713 12722 12723 12724 12725 12727 12728 12730
 12731 12732 12733 12734]",301,301,0,47832153,48111365919,605304196,48716670115,-0.7006312012672424
5,12757,-1.4617573022842407,0.27527523040771484,True,[12629. 12666.],[0.62025398 1.11677855],[0.62025398 1.73703253],363,64,"[12461 12462 12466 12483 12485 12491 12506 12532 12538 12543 12545 12547
 12562 12566 12568 12573 12577 12579 12580 12581 12582 12583 12584 12586
 12590 12610 12611 12612 12613 12617 12629 12634 12640 12642 12659 12661
 12664 12665 12666 12671 12684 12686 12687 12690 12694 12708 12710 12712
 12723 12724 12727 12730 12731 12733 12734 12737 12740 12742 12743 12745
 12747 12753 12756 12757]",159,4,6,52193350,63775101889,645419980,64420521869,-0.4654921293258667
6,12880,-1.2322936058044434,0.2868458330631256,True,[12878. 12873.],[0.88706237 0.63207707],[0.88706237 1.51913944],363,64,"[12758 12759 12763 12764 12766 12768 12769 12774 12776 12777 12778 12781
 12784 12785 12788 12791 12792 12794 12799 12803 12804 12808 12810 12813
 12814 12815 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12834 12835 12837 12838 12839 12842 12844 12845 12846 12847
 12848 12849 12852 12853 12855 12856 12857 12859 12860 12861 12865 12871
 12873 12874 12878 12880]",103,3,5,51893924,51733088759,650000446,52383089205,-0.6842081546783447
7,12889,-0.17671050131320953,0.4828150272369385,True,[12780.],[0.65952553],[0.65952553],63,64,"[12764 12766 12771 12772 12773 12774 12775 12776 12779 12780 12785 12787
 12788 12789 12791 12794 12799 12803 12806 12808 12810 12813 12814 12815
 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830 12831 12832
 12833 12834 12837 12838 12839 12841 12842 12844 12846 12847 12848 12849
 12857 12859 12860 12862 12865 12872 12874 12875 12878 12881 12883 12884
 12885 12886 12887 12889]",0,301,0,51589930,8821975996,52409268,8874385264,-1.0718379020690918
8,12923,-1.6881581544876099,-1.5052319765090942,False,[12905. 12892.],[0.0253427  0.15758348],[0.0253427  0.18292618],363,64,"[12832 12833 12834 12835 12836 12837 12838 12839 12840 12841 12842 12843
 12844 12845 12846 12847 12848 12849 12850 12851 12854 12856 12857 12858
 12859 12860 12861 12863 12864 12865 12869 12870 12871 12872 12873 12874
 12878 12879 12880 12881 12882 12885 12886 12887 12890 12892 12893 12894
 12895 12896 12897 12904 12905 12908 12909 12910 12912 12913 12914 12916
 12917 12921 12922 12923]",301,301,0,51851946,48651865687,491541703,49143407390,-1.5463765859603882
9,12954,0.022777657955884933,-1.8463873863220215,True,[12931.],[1.86916504],[1.86916504],63,64,"[12731 12733 12735 12737 12739 12743 12745 12748 12752 12753 12756 12758
 12759 12767 12768 12769 12774 12782 12788 12791 12792 12804 12827 12830
 12831 12834 12837 12838 12858 12859 12863 12864 12865 12869 12870 12874
 12875 12877 12878 12880 12881 12883 12886 12890 12893 12898 12900 12904
 12905 12909 12913 12914 12916 12917 12919 12928 12931 12938 12942 12946
 12947 12948 12950 12954]",0,301,0,51755866,23455098536,52488400,23507586936,2.060736656188965
10,13028,-0.3717139959335327,0.4363166093826294,True,[13007.],[0.80803061],[0.80803061],63,64,"[12929 12930 12932 12934 12935 12936 12939 12940 12941 12943 12944 12945
 12946 12947 12948 12949 12950 12951 12952 12953 12957 12958 12959 12960
 12961 12962 12963 12964 12965 12966 12968 12969 12970 12971 12974 12975
 12978 12982 12983 12984 12985 12987 12990 12991 12994 12996 12999 13001
 13002 13004 13005 13007 13008 13010 13011 13013 13014 13017 13019 13020
 13021 13022 13027 13028]",0,301,0,51757249,8720379476,52517215,8772896691,-2.3884055614471436
11,13144,-0.6196942329406738,0.03678087517619133,True,[13086. 13125. 13120. 13100. 13136. 13138. 13137.],"[0.11574107 0.10344565 0.0762035  0.01647726 0.06869076 0.12498391
 0.15093296]","[0.11574107 0.21918672 0.29539022 0.31186748 0.38055824 0.50554214
 0.65647511]",363,64,"[13069 13070 13073 13078 13080 13081 13082 13083 13084 13085 13086 13087
 13088 13089 13090 13091 13092 13094 13095 13096 13097 13098 13100 13102
 13104 13105 13106 13107 13108 13109 13110 13111 13112 13113 13114 13115
 13116 13117 13118 13119 13120 13121 13122 13123 13124 13125 13126 13127
 13128 13129 13130 13131 13132 13133 13134 13135 13136 13137 13138 13139
 13140 13141 13143 13144]",111,111,1,51038925,45746014992,583237858,46329252850,-3.5056681632995605
12,13168,-1.337671160697937,-0.8635756373405457,False,[ 7449. 13041. 13005.],[-0.01493752  0.18091953  0.30811352],[-0.01493752  0.16598201  0.47409552],323,24,"[ 4443  6492  7449  7450  7457  7458  7506  7509  7960  7971  7983  7992
  9551  9866 11361 11610 11641 12662 13002 13005 13017 13041 13142 13168]",301,301,0,17279729,50410311700,647076914,51057388614,-1.280705451965332
13,13302,-1.1499416828155518,-1.0430505275726318,False,[13252. 13300.],[0.04605997 0.06083119],[0.04605997 0.10689116],363,64,"[13226 13230 13232 13233 13235 13236 13237 13238 13240 13241 13242 13244
 13245 13246 13247 13248 13249 13250 13251 13252 13254 13255 13256 13257
 13258 13259 13261 13262 13263 13264 13265 13266 13268 13269 13270 13271
 13272 13273 13274 13275 13276 13277 13278 13279 13280 13281 13282 13283
 13284 13285 13287 13288 13289 13290 13291 13292 13294 13295 13296 13297
 13298 13300 13301 13302]",301,301,0,51868203,47438827373,477718295,47916545668,-0.8643138408660889
14,13439,-0.15249864757061005,0.35382211208343506,True,[13437.],[0.50632076],[0.50632076],63,64,"[13372 13373 13374 13375 13376 13377 13378 13379 13380 13381 13382 13383
 13384 13385 13386 13387 13388 13389 13390 13391 13392 13393 13394 13395
 13396 13397 13398 13399 13400 13401 13402 13403 13404 13405 13407 13408
 13409 13410 13411 13412 13414 13415 13416 13417 13418 13419 13420 13421
 13422 13423 13424 13427 13428 13429 13430 13431 13432 13433 13434 13435
 13436 13437 13438 13439]",0,301,0,56624411,8502993174,57506936,8560500110,-0.8643138408660889
15,13579,-0.7804100513458252,0.012072566896677017,True,[13576. 13575. 13553.],[0.36027864 0.22115219 0.2110518 ],[0.36027864 0.58143082 0.79248262],363,64,"[13504 13505 13506 13507 13508 13509 13510 13512 13514 13515 13517 13518
 13519 13520 13521 13522 13523 13524 13525 13526 13527 13529 13530 13531
 13532 13533 13534 13535 13538 13539 13540 13541 13542 13543 13545 13546
 13547 13548 13549 13550 13551 13552 13553 13554 13556 13557 13558 13559
 13560 13561 13562 13564 13565 13567 13568 13569 13571 13572 13573 13574
 13575 13576 13578 13579]",2,2,1,51581748,51556005893,590331192,52146337085,-0.167253777384758
