,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,first_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12129,-1.435693383216858,-1.0020605325698853,False,[12117. 11881.],[0.43302453 0.00060833],[0.43302453 0.43363285],301,64,"[11849 11850 11856 11863 11864 11872 11875 11878 11880 11881 11893 11896
 11897 11898 11899 11906 11909 11915 11917 11927 11940 11945 11948 11954
 11959 11963 11964 11967 11970 11971 11976 11990 11995 11998 12005 12013
 12014 12018 12026 12028 12036 12045 12046 12051 12057 12070 12073 12076
 12077 12079 12083 12089 12090 12091 12093 12095 12100 12105 12106 12108
 12115 12117 12123 12129]",301,301,0,1039245,45506364534,477210258,45983574792,-1.6152361631393433
1,12445,-2.531658172607422,-2.409494400024414,False,[12415. 12324.],[0.12193823 0.00022554],[0.12193823 0.12216377],301,64,"[12324 12328 12330 12331 12332 12336 12338 12340 12342 12343 12344 12346
 12347 12353 12354 12355 12359 12361 12362 12363 12365 12367 12368 12370
 12374 12375 12376 12377 12379 12380 12381 12383 12384 12385 12388 12393
 12394 12395 12400 12401 12403 12404 12405 12406 12407 12408 12411 12413
 12415 12418 12421 12423 12425 12426 12427 12428 12429 12432 12435 12436
 12437 12442 12443 12445]",301,301,0,955947,39258584260,478176283,39736760543,-0.8643138408660889
2,12531,-0.9921270608901978,-0.47963181138038635,False,[12530. 12429. 12408. 12411.],[4.81971979e-01 3.05231512e-02 0.00000000e+00 1.19209290e-07],[0.48197198 0.51249513 0.51249513 0.51249525],301,64,"[12408 12411 12413 12415 12418 12421 12423 12425 12426 12427 12428 12429
 12432 12435 12436 12437 12442 12443 12445 12449 12450 12454 12455 12458
 12459 12460 12461 12462 12464 12465 12466 12469 12472 12475 12480 12481
 12482 12485 12491 12495 12496 12498 12499 12501 12502 12503 12504 12505
 12506 12511 12512 12513 12516 12517 12518 12519 12520 12522 12524 12525
 12527 12528 12530 12531]",301,301,0,972859,40697444412,534963566,41232407978,-0.8643138408660889
3,12567,-1.6454803943634033,-0.9846283793449402,False,[12561. 10982.],[0.65126657 0.00958544],[0.65126657 0.66085202],301,64,"[10923 10927 10930 10942 10956 10975 10980 10982 10990 11270 11306 11307
 11308 11398 11518 11668 11709 11727 11746 11747 11754 11755 11757 11760
 11764 11791 11808 11817 11839 11861 11910 11925 11930 11933 11936 11946
 11947 11949 11951 11953 11955 11958 11961 11962 11993 12002 12007 12040
 12042 12087 12090 12094 12097 12101 12110 12127 12134 12414 12415 12418
 12526 12560 12561 12567]",301,301,0,938885,67029381044,515068106,67544449150,-2.256294012069702
4,12734,-1.0058088302612305,-0.3082122504711151,False,[12694. 12640. 12635.],[0.45704472 0.23934922 0.00120264],[0.45704472 0.69639394 0.69759658],301,64,"[12635 12636 12637 12638 12639 12640 12641 12642 12644 12645 12646 12647
 12648 12649 12650 12651 12652 12653 12654 12655 12656 12657 12658 12660
 12661 12663 12664 12665 12666 12670 12671 12673 12674 12675 12677 12679
 12680 12682 12683 12684 12686 12687 12690 12694 12696 12699 12702 12704
 12706 12708 12710 12712 12713 12722 12723 12724 12725 12727 12728 12730
 12731 12732 12733 12734]",301,301,0,961396,40471529308,522304172,40993833480,-0.7006312012672424
5,12757,-1.4617573022842407,-0.8076054453849792,False,[12629. 12532.],[0.62025398 0.03389788],[0.62025398 0.65415186],301,64,"[12461 12462 12466 12483 12485 12491 12506 12532 12538 12543 12545 12547
 12562 12566 12568 12573 12577 12579 12580 12581 12582 12583 12584 12586
 12590 12610 12611 12612 12613 12617 12629 12634 12640 12642 12659 12661
 12664 12665 12666 12671 12684 12686 12687 12690 12694 12708 12710 12712
 12723 12724 12727 12730 12731 12733 12734 12737 12740 12742 12743 12745
 12747 12753 12756 12757]",301,301,0,965824,50005092771,562945103,50568037874,-0.8643138408660889
6,12880,-1.2322936058044434,-0.19752362370491028,False,[12878. 12799. 12758. 12759. 12763. 12764. 12766.],"[ 8.87062371e-01  1.45184845e-01  0.00000000e+00 -2.38418579e-07
  0.00000000e+00 -1.21548772e-04  2.64455378e-03]","[0.88706237 1.03224722 1.03224722 1.03224698 1.03224698 1.03212543
 1.03476998]",301,64,"[12758 12759 12763 12764 12766 12768 12769 12774 12776 12777 12778 12781
 12784 12785 12788 12791 12792 12794 12799 12803 12804 12808 12810 12813
 12814 12815 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12834 12835 12837 12838 12839 12842 12844 12845 12846 12847
 12848 12849 12852 12853 12855 12856 12857 12859 12860 12861 12865 12871
 12873 12874 12878 12880]",301,301,0,992775,41452195450,1038522603,42490718053,-1.4554557800292969
7,12889,-0.17671050131320953,0.4828150272369385,True,[12780.],[0.65952553],[0.65952553],63,64,"[12764 12766 12771 12772 12773 12774 12775 12776 12779 12780 12785 12787
 12788 12789 12791 12794 12799 12803 12806 12808 12810 12813 12814 12815
 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830 12831 12832
 12833 12834 12837 12838 12839 12841 12842 12844 12846 12847 12848 12849
 12857 12859 12860 12862 12865 12872 12874 12875 12878 12881 12883 12884
 12885 12886 12887 12889]",9,9,1,1003796,8821975996,72740459,8894716455,-1.0718379020690918
8,12923,-1.6881581544876099,-1.5895136594772339,False,[12892. 12835.],[9.85542536e-02 9.02414322e-05],[0.09855425 0.0986445 ],301,64,"[12832 12833 12834 12835 12836 12837 12838 12839 12840 12841 12842 12843
 12844 12845 12846 12847 12848 12849 12850 12851 12854 12856 12857 12858
 12859 12860 12861 12863 12864 12865 12869 12870 12871 12872 12873 12874
 12878 12879 12880 12881 12882 12885 12886 12887 12890 12892 12893 12894
 12895 12896 12897 12904 12905 12908 12909 12910 12912 12913 12914 12916
 12917 12921 12922 12923]",301,301,0,966313,39908124609,510021491,40418146100,-0.8643138408660889
9,12954,0.022777657955884933,-1.8463873863220215,True,[12931.],[1.86916504],[1.86916504],122,64,"[12731 12733 12735 12737 12739 12743 12745 12748 12752 12753 12756 12758
 12759 12767 12768 12769 12774 12782 12788 12791 12792 12804 12827 12830
 12831 12834 12837 12838 12858 12859 12863 12864 12865 12869 12870 12874
 12875 12877 12878 12880 12881 12883 12886 12890 12893 12898 12900 12904
 12905 12909 12913 12914 12916 12917 12919 12928 12931 12938 12942 12946
 12947 12948 12950 12954]",115,106,2,1046012,34629868914,283703065,34913571979,2.060736656188965
10,13028,-0.3717139959335327,0.4363166093826294,True,[13007.],[0.80803061],[0.80803061],64,64,"[12929 12930 12932 12934 12935 12936 12939 12940 12941 12943 12944 12945
 12946 12947 12948 12949 12950 12951 12952 12953 12957 12958 12959 12960
 12961 12962 12963 12964 12965 12966 12968 12969 12970 12971 12974 12975
 12978 12982 12983 12984 12985 12987 12990 12991 12994 12996 12999 13001
 13002 13004 13005 13007 13008 13010 13011 13013 13014 13017 13019 13020
 13021 13022 13027 13028]",52,52,1,1003212,8934702796,75251155,9009953951,-2.3884055614471436
11,13144,-0.6196942329406738,-0.49003568291664124,False,[13086. 13073. 13069.],[0.11574107 0.01148695 0.00243053],[0.11574107 0.12722802 0.12965855],301,64,"[13069 13070 13073 13078 13080 13081 13082 13083 13084 13085 13086 13087
 13088 13089 13090 13091 13092 13094 13095 13096 13097 13098 13100 13102
 13104 13105 13106 13107 13108 13109 13110 13111 13112 13113 13114 13115
 13116 13117 13118 13119 13120 13121 13122 13123 13124 13125 13126 13127
 13128 13129 13130 13131 13132 13133 13134 13135 13136 13137 13138 13139
 13140 13141 13143 13144]",301,301,0,967705,37940942656,495674112,38436616768,0.5611615180969238
12,13168,-1.337671160697937,-0.8635756373405457,False,[13005.],[0.47409552],[0.47409552],301,24,"[ 4443  6492  7449  7450  7457  7458  7506  7509  7960  7971  7983  7992
  9551  9866 11361 11610 11641 12662 13002 13005 13017 13041 13142 13168]",301,301,0,923722,46817270677,643984729,47461255406,-1.4547576904296875
13,13302,-1.1499416828155518,-1.0951968431472778,False,[13300.],[0.05474484],[0.05474484],301,64,"[13226 13230 13232 13233 13235 13236 13237 13238 13240 13241 13242 13244
 13245 13246 13247 13248 13249 13250 13251 13252 13254 13255 13256 13257
 13258 13259 13261 13262 13263 13264 13265 13266 13268 13269 13270 13271
 13272 13273 13274 13275 13276 13277 13278 13279 13280 13281 13282 13283
 13284 13285 13287 13288 13289 13290 13291 13292 13294 13295 13296 13297
 13298 13300 13301 13302]",301,301,0,973988,39084631526,504029868,39588661394,-0.8643138408660889
14,13439,-0.15249864757061005,0.35382211208343506,True,[13437.],[0.50632076],[0.50632076],80,64,"[13372 13373 13374 13375 13376 13377 13378 13379 13380 13381 13382 13383
 13384 13385 13386 13387 13388 13389 13390 13391 13392 13393 13394 13395
 13396 13397 13398 13399 13400 13401 13402 13403 13404 13405 13407 13408
 13409 13410 13411 13412 13414 13415 13416 13417 13418 13419 13420 13421
 13422 13423 13424 13427 13428 13429 13430 13431 13432 13433 13434 13435
 13436 13437 13438 13439]",78,52,2,1065089,10915100265,210407719,11125507984,-0.8643138408660889
15,13579,-0.7804100513458252,-0.41467076539993286,False,[13576. 13524.],[0.36027864 0.00546065],[0.36027864 0.36573929],301,64,"[13504 13505 13506 13507 13508 13509 13510 13512 13514 13515 13517 13518
 13519 13520 13521 13522 13523 13524 13525 13526 13527 13529 13530 13531
 13532 13533 13534 13535 13538 13539 13540 13541 13542 13543 13545 13546
 13547 13548 13549 13550 13551 13552 13553 13554 13556 13557 13558 13559
 13560 13561 13562 13564 13565 13567 13568 13569 13571 13572 13573 13574
 13575 13576 13578 13579]",301,301,0,958398,42163434837,554484231,42717919068,-0.8643138408660889
16,13642,-0.2523640990257263,-0.2054358571767807,False,[13585. 13492.],[0.04243739 0.00449085],[0.04243739 0.04692824],301,64,"[13467 13473 13475 13477 13483 13485 13486 13489 13492 13494 13495 13502
 13504 13507 13508 13509 13514 13518 13519 13522 13525 13527 13529 13532
 13534 13535 13539 13541 13545 13548 13552 13554 13557 13558 13559 13562
 13564 13565 13567 13574 13576 13578 13581 13582 13583 13584 13585 13589
 13591 13592 13601 13605 13606 13607 13609 13610 13611 13614 13619 13627
 13630 13636 13640 13642]",301,301,0,977249,47886866672,522340641,48409207313,-0.16956324875354767
17,13681,-0.2735046446323395,-0.2196303755044937,False,[13635. 13577.],[0.04507245 0.00880182],[0.04507245 0.05387427],301,64,"[13576 13577 13578 13579 13581 13582 13583 13584 13585 13586 13587 13589
 13593 13594 13596 13597 13598 13600 13601 13602 13603 13604 13605 13606
 13607 13608 13609 13610 13612 13618 13619 13626 13628 13630 13632 13633
 13634 13635 13636 13637 13639 13640 13643 13644 13645 13646 13649 13650
 13651 13653 13655 13657 13658 13662 13664 13665 13667 13668 13669 13672
 13673 13676 13677 13681]",301,301,0,1022048,43398260364,505978770,43904239134,-0.8643138408660889
18,13989,-1.0746256113052368,0.6174360513687134,True,[13987.],[1.69206166],[1.69206166],63,64,"[13922 13923 13924 13925 13926 13927 13928 13930 13931 13932 13933 13934
 13935 13936 13937 13938 13939 13940 13941 13942 13943 13944 13945 13946
 13947 13948 13949 13950 13951 13952 13953 13954 13955 13956 13957 13958
 13959 13960 13961 13962 13963 13964 13965 13966 13967 13968 13969 13970
 13971 13972 13973 13974 13975 13976 13977 13978 13979 13980 13982 13983
 13985 13987 13988 13989]",61,61,1,940454,8807512415,69868484,8877380899,-0.804104208946228
19,14333,-0.6054727435112,-0.464588463306427,False,[14300. 14211.],[0.14009947 0.00078481],[0.14009947 0.14088428],301,64,"[14203 14204 14205 14207 14209 14210 14211 14213 14217 14218 14225 14234
 14235 14236 14238 14239 14245 14246 14248 14255 14258 14259 14260 14262
 14267 14271 14272 14273 14275 14277 14278 14280 14281 14282 14283 14284
 14286 14288 14290 14291 14294 14296 14298 14300 14301 14303 14306 14310
 14311 14314 14315 14316 14317 14319 14320 14321 14322 14323 14324 14325
 14326 14330 14332 14333]",301,301,0,917952,44542716157,496050143,45038766300,-0.8643138408660889
20,14459,-0.7933332920074463,-0.4558759331703186,False,[14437. 14382.],[0.33007675 0.0073806 ],[0.33007675 0.33745736],301,64,"[14380 14381 14382 14383 14384 14385 14387 14390 14391 14392 14394 14396
 14397 14398 14399 14400 14401 14402 14403 14404 14405 14407 14409 14410
 14411 14412 14416 14417 14418 14419 14420 14421 14422 14425 14427 14428
 14429 14431 14432 14433 14434 14435 14436 14437 14438 14439 14440 14441
 14443 14444 14445 14446 14447 14448 14449 14450 14451 14452 14453 14454
 14455 14457 14458 14459]",301,301,0,928572,43630808548,576684504,44207493052,-0.9762631058692932
