,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,first_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12090,0.4178480803966522,-0.17131240665912628,True,[12086],[0.58916049],[0.58916049],63,64,"[12025 12026 12027 12028 12029 12030 12031 12032 12033 12034 12035 12036
 12037 12038 12039 12040 12041 12042 12043 12044 12045 12046 12047 12048
 12049 12050 12051 12052 12053 12054 12055 12056 12057 12058 12059 12060
 12061 12062 12064 12065 12066 12067 12068 12069 12070 12071 12072 12073
 12074 12075 12076 12077 12078 12079 12081 12082 12083 12084 12085 12086
 12087 12088 12089 12090]",29,29,1,682702,7497667134,78399256,7576066390,-0.8643138408660889
1,12171,6.600631237030029,6.07244348526001,False,[12153 12157],[0.35759544 0.17059231],[0.35759544 0.52818775],301,64,"[12107 12108 12109 12110 12111 12112 12113 12114 12115 12116 12117 12118
 12119 12120 12121 12122 12123 12124 12125 12126 12127 12128 12130 12131
 12132 12133 12134 12135 12136 12137 12138 12139 12140 12141 12142 12143
 12144 12145 12146 12147 12148 12149 12150 12151 12152 12153 12154 12155
 12156 12157 12158 12159 12160 12161 12162 12163 12164 12165 12166 12167
 12168 12169 12170 12171]",301,301,0,593554,33396371625,394263511,33790635136,7.855581283569336
2,12440,4.081359386444092,1.0220803022384644,False,[12439 12379 12409 12413],[2.72295749 0.         0.         0.33632159],[2.72295749 2.72295749 2.72295749 3.05927908],301,64,"[12376 12377 12378 12379 12380 12381 12382 12383 12384 12385 12386 12387
 12388 12389 12390 12391 12392 12393 12394 12395 12396 12397 12398 12399
 12400 12401 12402 12403 12404 12405 12406 12407 12408 12409 12410 12411
 12412 12413 12414 12415 12416 12417 12418 12419 12420 12421 12422 12423
 12425 12426 12427 12428 12429 12430 12431 12432 12433 12434 12435 12436
 12437 12438 12439 12440]",301,301,0,611226,33470271797,485018432,33955290229,6.393239498138428
3,12550,1.1073442697525024,0.7085457444190979,False,[12520 12546 12539],[0.00173807 0.33127511 0.06578535],[0.00173807 0.33301318 0.39879853],301,64,"[12483 12484 12485 12486 12487 12488 12489 12490 12491 12492 12493 12494
 12495 12496 12497 12499 12500 12501 12502 12503 12504 12505 12506 12507
 12508 12509 12510 12511 12512 12513 12514 12515 12516 12517 12518 12519
 12520 12521 12522 12523 12524 12525 12526 12527 12528 12529 12530 12531
 12532 12533 12534 12535 12536 12537 12538 12539 12540 12541 12545 12546
 12547 12548 12549 12550]",301,301,0,594293,35421367143,404825349,35826192492,-0.8643138408660889
4,12694,0.7780046463012695,0.5670825839042664,False,[12665 12666],[0.03015292 0.18076915],[0.03015292 0.21092206],301,64,"[12280 12282 12292 12296 12300 12303 12304 12309 12315 12327 12330 12366
 12367 12374 12375 12378 12380 12390 12393 12395 12398 12413 12421 12426
 12428 12432 12435 12436 12437 12443 12449 12450 12458 12461 12462 12466
 12469 12473 12483 12485 12491 12506 12507 12512 12524 12532 12545 12547
 12558 12566 12584 12587 12589 12610 12611 12612 12613 12617 12618 12641
 12661 12665 12666 12694]",301,301,0,632164,47944201790,406463572,48350665362,1.3764501810073853
5,12834,1.347882628440857,1.3140653371810913,False,[12766 12780],[0.0318712  0.00194609],[0.0318712  0.03381729],301,64,"[12759 12760 12761 12762 12763 12764 12765 12766 12767 12768 12769 12770
 12771 12772 12773 12774 12775 12776 12777 12778 12779 12780 12781 12782
 12784 12785 12786 12787 12788 12789 12790 12791 12792 12793 12794 12798
 12799 12800 12802 12803 12804 12805 12806 12808 12810 12813 12814 12815
 12816 12817 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12833 12834]",301,301,0,614209,35430898268,413407779,35844306047,-0.8643138408660889
6,12908,0.2919173836708069,0.20254631340503693,False,[12856 12826 12831],[0.08478029 0.         0.00459078],[0.08478029 0.08478029 0.08937107],301,64,"[12803 12804 12805 12810 12813 12815 12817 12818 12819 12822 12824 12825
 12826 12827 12828 12829 12830 12831 12832 12833 12834 12835 12837 12838
 12839 12840 12841 12842 12844 12845 12846 12847 12848 12849 12856 12857
 12859 12860 12861 12865 12871 12872 12873 12874 12875 12878 12879 12880
 12881 12882 12883 12885 12886 12890 12892 12893 12894 12897 12898 12900
 12902 12904 12905 12908]",301,301,0,609231,36620184048,430283701,37050467749,-0.8643138408660889
7,12921,2.4462411403656006,1.8580572605133057,False,[12913 12914],[0.50845063 0.07973325],[0.50845063 0.58818388],301,64,"[12835 12836 12837 12838 12839 12841 12842 12843 12844 12845 12846 12847
 12848 12849 12850 12851 12852 12853 12854 12855 12856 12857 12858 12859
 12860 12861 12871 12872 12873 12874 12878 12879 12880 12881 12882 12885
 12886 12887 12888 12890 12891 12892 12893 12894 12895 12896 12897 12899
 12901 12902 12903 12905 12906 12907 12908 12909 12910 12911 12913 12914
 12915 12916 12917 12921]",301,301,0,616280,36347940680,444646037,36792586717,-0.8643138408660889
8,13150,6.208749294281006,5.898465633392334,False,[13144 13108],[0.20755816 0.10272551],[0.20755816 0.31028366],301,64,"[13082 13083 13084 13085 13086 13087 13088 13089 13090 13091 13092 13093
 13094 13095 13096 13097 13098 13100 13102 13103 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13115 13116 13117 13118 13119 13120
 13121 13122 13124 13125 13126 13127 13128 13129 13130 13131 13132 13133
 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144 13145 13146
 13147 13148 13149 13150]",301,301,0,599675,35503390904,406701222,35910092126,-0.39065423607826233
9,13171,0.7060611248016357,0.25185999274253845,False,[13152 13155 13143 13119 13134 13116 13110 13147 13102 13139 13106],"[ 1.77852869e-01  2.55422920e-01  1.69187784e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -6.39837980e-03  2.43167281e-02
 -6.11782074e-04  6.27666712e-04  2.82192230e-03]","[0.17785287 0.43327579 0.43344498 0.43344498 0.43344498 0.43344498
 0.4270466  0.45136333 0.45075154 0.45137921 0.45420113]",301,64,"[13091 13094 13096 13097 13098 13099 13100 13102 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13114 13115 13116 13117 13118 13119
 13120 13121 13122 13123 13124 13125 13126 13127 13128 13129 13130 13131
 13132 13133 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144
 13145 13146 13147 13148 13149 13150 13151 13152 13154 13155 13156 13157
 13160 13162 13170 13171]",301,301,0,609129,35605988732,433358586,36039347318,-0.5154003500938416
10,13275,0.14223383367061615,-0.16089364886283875,True,[13249],[0.30312748],[0.30312748],63,64,"[13170 13171 13172 13173 13175 13177 13178 13180 13181 13182 13183 13186
 13187 13188 13192 13194 13195 13196 13202 13204 13205 13206 13209 13211
 13213 13216 13220 13221 13222 13223 13225 13227 13228 13229 13233 13234
 13237 13239 13240 13242 13243 13244 13245 13246 13247 13248 13249 13254
 13255 13256 13257 13258 13259 13261 13263 13264 13265 13267 13268 13269
 13270 13271 13272 13275]",9,9,1,613456,7868151356,83253510,7951404866,-0.8643138408660889
11,13515,2.439748764038086,0.8883051872253418,False,[13496 13469 13454 13467 13503 13470],[ 1.08846831 -0.00485969  0.          0.          0.1409235   0.32691145],[1.08846831 1.08360863 1.08360863 1.08360863 1.22453213 1.55144358],301,64,"[13446 13447 13448 13449 13450 13451 13452 13453 13454 13456 13457 13458
 13459 13461 13462 13463 13464 13465 13466 13467 13469 13470 13471 13472
 13473 13474 13475 13476 13477 13478 13479 13480 13482 13483 13485 13486
 13487 13488 13489 13490 13491 13492 13493 13494 13495 13496 13497 13498
 13500 13501 13502 13503 13504 13505 13506 13507 13508 13509 13510 13511
 13512 13513 13514 13515]",301,301,0,618396,35700920252,444745976,36145666228,2.243640661239624
