,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12090,0.4178480803966522,-0.1369919627904892,True,[12086],[0.55484004],[0.55484004],63,64,"[12025 12026 12027 12028 12029 12030 12031 12032 12033 12034 12035 12036
 12037 12038 12039 12040 12041 12042 12043 12044 12045 12046 12047 12048
 12049 12050 12051 12052 12053 12054 12055 12056 12057 12058 12059 12060
 12061 12062 12064 12065 12066 12067 12068 12069 12070 12071 12072 12073
 12074 12075 12076 12077 12078 12079 12081 12082 12083 12084 12085 12086
 12087 12088 12089 12090]",4072526541,6362929111,17830506,6380759617,-0.8643138408660889
1,12171,6.600631237030029,3.498485565185547,False,"[12153 12167 12160 12169 12146 12157 12142 12116 12135 12134 12110 12166
 12162 12114 12137 12161 12115 12156]","[3.57595444e-01 3.62279892e-01 1.79841995e-01 1.46641254e-01
 2.90167332e-01 7.52859116e-02 1.47807121e-01 5.69248199e-03
 4.08649445e-04 3.34262848e-04 1.43051147e-05 1.43566132e-02
 1.38858676e+00 1.82099342e-02 2.16412544e-03 3.72152328e-02
 2.52826214e-02 5.02617359e-02]","[0.35759544 0.71987534 0.89971733 1.04635859 1.33652592 1.41181183
 1.55961895 1.56531143 1.56572008 1.56605434 1.56606865 1.58042526
 2.96901202 2.98722196 2.98938608 3.02660131 3.05188394 3.10214567]",243,64,"[12107 12108 12109 12110 12111 12112 12113 12114 12115 12116 12117 12118
 12119 12120 12121 12122 12123 12124 12125 12126 12127 12128 12130 12131
 12132 12133 12134 12135 12136 12137 12138 12139 12140 12141 12142 12143
 12144 12145 12146 12147 12148 12149 12150 12151 12152 12153 12154 12155
 12156 12157 12158 12159 12160 12161 12162 12163 12164 12165 12166 12167
 12168 12169 12170 12171]",4277732148,23221775042,58032894,23279807936,6.657725811004639
2,12440,4.081359386444092,0.7866908311843872,False,[12439 12413],[2.72311592 0.57155263],[2.72311592 3.29466856],83,64,"[12376 12377 12378 12379 12380 12381 12382 12383 12384 12385 12386 12387
 12388 12389 12390 12391 12392 12393 12394 12395 12396 12397 12398 12399
 12400 12401 12402 12403 12404 12405 12406 12407 12408 12409 12410 12411
 12412 12413 12414 12415 12416 12417 12418 12419 12420 12421 12422 12423
 12425 12426 12427 12428 12429 12430 12431 12432 12433 12434 12435 12436
 12437 12438 12439 12440]",4418047151,8791429541,23055370,8814484911,6.393239498138428
3,12550,1.1073442697525024,0.6917876601219177,False,[12546 12539 12541 12548],[0.33633673 0.07599318 0.00221443 0.00101227],[0.33633673 0.41232991 0.41454434 0.41555661],103,64,"[12483 12484 12485 12486 12487 12488 12489 12490 12491 12492 12493 12494
 12495 12496 12497 12499 12500 12501 12502 12503 12504 12505 12506 12507
 12508 12509 12510 12511 12512 12513 12514 12515 12516 12517 12518 12519
 12520 12521 12522 12523 12524 12525 12526 12527 12528 12529 12530 12531
 12532 12533 12534 12535 12536 12537 12538 12539 12540 12541 12545 12546
 12547 12548 12549 12550]",4522109566,10553720016,25921911,10579641927,-0.8643138408660889
4,12694,0.7780046463012695,0.6592385768890381,False,[12587],[0.11876607],[0.11876607],73,64,"[12280 12282 12292 12296 12300 12303 12304 12309 12315 12327 12330 12366
 12367 12374 12375 12378 12380 12390 12393 12395 12398 12413 12421 12426
 12428 12432 12435 12436 12437 12443 12449 12450 12458 12461 12462 12466
 12469 12473 12483 12485 12491 12506 12507 12512 12524 12532 12545 12547
 12558 12566 12584 12587 12589 12610 12611 12612 12613 12617 12618 12641
 12661 12665 12666 12694]",6070367911,10055748746,20692481,10076441227,-0.8643138408660889
5,12834,1.347882628440857,1.1822459697723389,False,[12776],[0.16563666],[0.16563666],73,64,"[12759 12760 12761 12762 12763 12764 12765 12766 12767 12768 12769 12770
 12771 12772 12773 12774 12775 12776 12777 12778 12779 12780 12781 12782
 12784 12785 12786 12787 12788 12789 12790 12791 12792 12793 12794 12798
 12799 12800 12802 12803 12804 12805 12806 12808 12810 12813 12814 12815
 12816 12817 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12833 12834]",4470640195,7930606395,19630157,7950236552,-0.8643138408660889
6,12908,0.2919173836708069,0.19280867278575897,False,[12804],[0.09910871],[0.09910871],73,64,"[12803 12804 12805 12810 12813 12815 12817 12818 12819 12822 12824 12825
 12826 12827 12828 12829 12830 12831 12832 12833 12834 12835 12837 12838
 12839 12840 12841 12842 12844 12845 12846 12847 12848 12849 12856 12857
 12859 12860 12861 12865 12871 12872 12873 12874 12875 12878 12879 12880
 12881 12882 12883 12885 12886 12890 12892 12893 12894 12897 12898 12900
 12902 12904 12905 12908]",4454671282,8021618150,19356145,8040974295,-0.8643138408660889
7,12921,2.4462411403656006,1.945421814918518,False,[12913],[0.50081933],[0.50081933],73,64,"[12835 12836 12837 12838 12839 12841 12842 12843 12844 12845 12846 12847
 12848 12849 12850 12851 12852 12853 12854 12855 12856 12857 12858 12859
 12860 12861 12871 12872 12873 12874 12878 12879 12880 12881 12882 12885
 12886 12887 12888 12890 12891 12892 12893 12894 12895 12896 12897 12899
 12901 12902 12903 12905 12906 12907 12908 12909 12910 12911 12913 12914
 12915 12916 12917 12921]",4304232331,7828447353,20220875,7848668228,-0.8643138408660889
8,13150,6.208749294281006,3.3003435134887695,False,"[13140 13144 13096 13143 13139 13108 13133 13129 13127 13116 13136 13138
 13137 13120 13132 13131 13134 13109 13118 13124]","[0.27928686 0.19746351 0.0336833  0.10475492 0.48783016 0.05201626
 0.19991922 0.02968645 0.11667538 0.0160675  0.1059289  0.19758224
 0.46179676 0.05706739 0.09646082 0.18330717 0.03577423 0.0175283
 0.22608566 0.00949073]","[0.27928686 0.47675037 0.51043367 0.6151886  1.10301876 1.15503502
 1.35495424 1.38464069 1.50131607 1.51738358 1.62331247 1.82089472
 2.28269148 2.33975887 2.43621969 2.61952686 2.65530109 2.67282939
 2.89891505 2.90840578]",263,64,"[13082 13083 13084 13085 13086 13087 13088 13089 13090 13091 13092 13093
 13094 13095 13096 13097 13098 13100 13102 13103 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13115 13116 13117 13118 13119 13120
 13121 13122 13124 13125 13126 13127 13128 13129 13130 13131 13132 13133
 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144 13145 13146
 13147 13148 13149 13150]",4511884085,26360168795,60966447,26421135242,7.6417341232299805
9,13171,0.7060611248016357,0.39905664324760437,False,[13155],[0.30700448],[0.30700448],73,64,"[13091 13094 13096 13097 13098 13099 13100 13102 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13114 13115 13116 13117 13118 13119
 13120 13121 13122 13123 13124 13125 13126 13127 13128 13129 13130 13131
 13132 13133 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144
 13145 13146 13147 13148 13149 13150 13151 13152 13154 13155 13156 13157
 13160 13162 13170 13171]",4506952697,7945869398,20096370,7965965768,-0.8643138408660889
