,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12129,-1.435693383216858,-1.0049668550491333,False,[12117. 11964.],[0.42585731 0.00486922],[0.42585731 0.43072653],30,64,"[11849 11850 11856 11863 11864 11872 11875 11878 11880 11881 11893 11896
 11897 11898 11899 11906 11909 11915 11917 11927 11940 11945 11948 11954
 11959 11963 11964 11967 11970 11971 11976 11990 11995 11998 12005 12013
 12014 12018 12026 12028 12036 12045 12046 12051 12057 12070 12073 12076
 12077 12079 12083 12089 12090 12091 12093 12095 12100 12105 12106 12108
 12115 12117 12123 12129]",66294,3118044954,6280733,3124325687,-1.6152361631393433
1,12445,-2.531658172607422,-2.531658172607422,False,[],[],[],10,64,"[12324 12328 12330 12331 12332 12336 12338 12340 12342 12343 12344 12346
 12347 12353 12354 12355 12359 12361 12362 12363 12365 12367 12368 12370
 12374 12375 12376 12377 12379 12380 12381 12383 12384 12385 12388 12393
 12394 12395 12400 12401 12403 12404 12405 12406 12407 12408 12411 12413
 12415 12418 12421 12423 12425 12426 12427 12428 12429 12432 12435 12436
 12437 12442 12443 12445]",60744,984639005,2297696,986936701,-0.8643138408660889
2,12531,-0.9921270608901978,-0.9921270608901978,False,[],[],[],10,64,"[12408 12411 12413 12415 12418 12421 12423 12425 12426 12427 12428 12429
 12432 12435 12436 12437 12442 12443 12445 12449 12450 12454 12455 12458
 12459 12460 12461 12462 12464 12465 12466 12469 12472 12475 12480 12481
 12482 12485 12491 12495 12496 12498 12499 12501 12502 12503 12504 12505
 12506 12511 12512 12513 12516 12517 12518 12519 12520 12522 12524 12525
 12527 12528 12530 12531]",63960,1022536083,2240570,1024776653,-0.8643138408660889
3,12567,-1.6454803943634033,-1.2977619171142578,False,[11760.],[0.34771848],[0.34771848],20,64,"[10923 10927 10930 10942 10956 10975 10980 10982 10990 11270 11306 11307
 11308 11398 11518 11668 11709 11727 11746 11747 11754 11755 11757 11760
 11764 11791 11808 11817 11839 11861 11910 11925 11930 11933 11936 11946
 11947 11949 11951 11953 11955 11958 11961 11962 11993 12002 12007 12040
 12042 12087 12090 12094 12097 12101 12110 12127 12134 12414 12415 12418
 12526 12560 12561 12567]",59572,2280769175,4084499,2284853674,-0.8643138408660889
4,12734,-1.0058088302612305,-1.0058088302612305,False,[],[],[],10,64,"[12635 12636 12637 12638 12639 12640 12641 12642 12644 12645 12646 12647
 12648 12649 12650 12651 12652 12653 12654 12655 12656 12657 12658 12660
 12661 12663 12664 12665 12666 12670 12671 12673 12674 12675 12677 12679
 12680 12682 12683 12684 12686 12687 12690 12694 12696 12699 12702 12704
 12706 12708 12710 12712 12713 12722 12723 12724 12725 12727 12728 12730
 12731 12732 12733 12734]",60655,988050061,2151821,990201882,-0.8643138408660889
5,12757,-1.4617573022842407,0.46819329261779785,True,[12666.],[1.92995059],[1.92995059],10,64,"[12461 12462 12466 12483 12485 12491 12506 12532 12538 12543 12545 12547
 12562 12566 12568 12573 12577 12579 12580 12581 12582 12583 12584 12586
 12590 12610 12611 12612 12613 12617 12629 12634 12640 12642 12659 12661
 12664 12665 12666 12671 12684 12686 12687 12690 12694 12708 12710 12712
 12723 12724 12727 12730 12731 12733 12734 12737 12740 12742 12743 12745
 12747 12753 12756 12757]",61055,3485542381,2176536,3487718917,-0.4654921293258667
6,12880,-1.2322936058044434,-0.06259042024612427,False,[12788. 12878. 12808.],[0.46012872 0.69598921 0.01358525],[0.46012872 1.15611793 1.16970319],40,64,"[12758 12759 12763 12764 12766 12768 12769 12774 12776 12777 12778 12781
 12784 12785 12788 12791 12792 12794 12799 12803 12804 12808 12810 12813
 12814 12815 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12834 12835 12837 12838 12839 12842 12844 12845 12846 12847
 12848 12849 12852 12853 12855 12856 12857 12859 12860 12861 12865 12871
 12873 12874 12878 12880]",61907,5265630262,8362218,5273992480,-0.683307409286499
7,12889,-0.17671050131320953,0.5565667152404785,True,[12884. 12887.],[0.15562726 0.57764995],[0.15562726 0.73327722],20,64,"[12764 12766 12771 12772 12773 12774 12775 12776 12779 12780 12785 12787
 12788 12789 12791 12794 12799 12803 12806 12808 12810 12813 12814 12815
 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830 12831 12832
 12833 12834 12837 12838 12839 12841 12842 12844 12846 12847 12848 12849
 12857 12859 12860 12862 12865 12872 12874 12875 12878 12881 12883 12884
 12885 12886 12887 12889]",61917,4973543640,4164307,4977707947,-0.6574375033378601
8,12923,-1.6881581544876099,-1.341300129890442,False,[12897. 12892. 12841. 12880. 12894. 12912.],[0.07409036 0.04661846 0.00340426 0.00147545 0.09217966 0.12908983],[0.07409036 0.12070882 0.12411308 0.12558854 0.21776819 0.34685802],70,64,"[12832 12833 12834 12835 12836 12837 12838 12839 12840 12841 12842 12843
 12844 12845 12846 12847 12848 12849 12850 12851 12854 12856 12857 12858
 12859 12860 12861 12863 12864 12865 12869 12870 12871 12872 12873 12874
 12878 12879 12880 12881 12882 12885 12886 12887 12890 12892 12893 12894
 12895 12896 12897 12904 12905 12908 12909 12910 12912 12913 12914 12916
 12917 12921 12922 12923]",60645,6367098071,14500941,6381599012,-1.2349967956542969
9,12954,0.022777657955884933,0.022777657955884933,False,[],[],[],10,64,"[12731 12733 12735 12737 12739 12743 12745 12748 12752 12753 12756 12758
 12759 12767 12768 12769 12774 12782 12788 12791 12792 12804 12827 12830
 12831 12834 12837 12838 12858 12859 12863 12864 12865 12869 12870 12874
 12875 12877 12878 12880 12881 12883 12886 12890 12893 12898 12900 12904
 12905 12909 12913 12914 12916 12917 12919 12928 12931 12938 12942 12946
 12947 12948 12950 12954]",63430,3047140135,2137201,3049277336,-0.8643138408660889
10,13028,-0.3717139959335327,-0.2450675517320633,False,[13013. 13021.],[0.03261107 0.09403537],[0.03261107 0.12664644],30,64,"[12929 12930 12932 12934 12935 12936 12939 12940 12941 12943 12944 12945
 12946 12947 12948 12949 12950 12951 12952 12953 12957 12958 12959 12960
 12961 12962 12963 12964 12965 12966 12968 12969 12970 12971 12974 12975
 12978 12982 12983 12984 12985 12987 12990 12991 12994 12996 12999 13001
 13002 13004 13005 13007 13008 13010 13011 13013 13014 13017 13019 13020
 13021 13022 13027 13028]",60805,2764026396,6440404,2770466800,-0.8643138408660889
11,13144,-0.6196942329406738,-0.3421850800514221,False,[13120. 13131.],[0.25047603 0.02703312],[0.25047603 0.27750915],30,64,"[13069 13070 13073 13078 13080 13081 13082 13083 13084 13085 13086 13087
 13088 13089 13090 13091 13092 13094 13095 13096 13097 13098 13100 13102
 13104 13105 13106 13107 13108 13109 13110 13111 13112 13113 13114 13115
 13116 13117 13118 13119 13120 13121 13122 13123 13124 13125 13126 13127
 13128 13129 13130 13131 13132 13133 13134 13135 13136 13137 13138 13139
 13140 13141 13143 13144]",62188,2630200644,6319624,2636520268,-1.4755254983901978
12,13168,-1.337671160697937,-0.8751291036605835,False,[9866. 7450. 7992.],[0.36268008 0.07661599 0.02324599],[0.36268008 0.43929607 0.46254206],40,24,"[ 4443  6492  7449  7450  7457  7458  7506  7509  7960  7971  7983  7992
  9551  9866 11361 11610 11641 12662 13002 13005 13017 13041 13142 13168]",61977,6935438334,7788488,6943226822,-0.8643138408660889
13,13302,-1.1499416828155518,-1.1499416828155518,False,[],[],[],10,64,"[13226 13230 13232 13233 13235 13236 13237 13238 13240 13241 13242 13244
 13245 13246 13247 13248 13249 13250 13251 13252 13254 13255 13256 13257
 13258 13259 13261 13262 13263 13264 13265 13266 13268 13269 13270 13271
 13272 13273 13274 13275 13276 13277 13278 13279 13280 13281 13282 13283
 13284 13285 13287 13288 13289 13290 13291 13292 13294 13295 13296 13297
 13298 13300 13301 13302]",65213,951635522,2401359,954036881,-0.8643138408660889
14,13439,-0.15249864757061005,-0.015247579663991928,False,[13435. 13418.],[0.03726222 0.09998885],[0.03726222 0.13725107],30,64,"[13372 13373 13374 13375 13376 13377 13378 13379 13380 13381 13382 13383
 13384 13385 13386 13387 13388 13389 13390 13391 13392 13393 13394 13395
 13396 13397 13398 13399 13400 13401 13402 13403 13404 13405 13407 13408
 13409 13410 13411 13412 13414 13415 13416 13417 13418 13419 13420 13421
 13422 13423 13424 13427 13428 13429 13430 13431 13432 13433 13434 13435
 13436 13437 13438 13439]",60664,2933213079,6238676,2939451755,-0.8643138408660889
15,13579,-0.7804100513458252,-0.7804100513458252,False,[],[],[],10,64,"[13504 13505 13506 13507 13508 13509 13510 13512 13514 13515 13517 13518
 13519 13520 13521 13522 13523 13524 13525 13526 13527 13529 13530 13531
 13532 13533 13534 13535 13538 13539 13540 13541 13542 13543 13545 13546
 13547 13548 13549 13550 13551 13552 13553 13554 13556 13557 13558 13559
 13560 13561 13562 13564 13565 13567 13568 13569 13571 13572 13573 13574
 13575 13576 13578 13579]",63871,997201553,2355764,999557317,-0.8643138408660889
16,13642,-0.2523640990257263,-0.07632669806480408,False,[13494.],[0.1760374],[0.1760374],20,64,"[13467 13473 13475 13477 13483 13485 13486 13489 13492 13494 13495 13502
 13504 13507 13508 13509 13514 13518 13519 13522 13525 13527 13529 13532
 13534 13535 13539 13541 13545 13548 13552 13554 13557 13558 13559 13562
 13564 13565 13567 13574 13576 13578 13581 13582 13583 13584 13585 13589
 13591 13592 13601 13605 13606 13607 13609 13610 13611 13614 13619 13627
 13630 13636 13640 13642]",68509,2152984560,5426885,2158411445,-0.8643138408660889
17,13681,-0.2735046446323395,-0.10575196146965027,False,[13626.],[0.16775268],[0.16775268],20,64,"[13576 13577 13578 13579 13581 13582 13583 13584 13585 13586 13587 13589
 13593 13594 13596 13597 13598 13600 13601 13602 13603 13604 13605 13606
 13607 13608 13609 13610 13612 13618 13619 13626 13628 13630 13632 13633
 13634 13635 13636 13637 13639 13640 13643 13644 13645 13646 13649 13650
 13651 13653 13655 13657 13658 13662 13664 13665 13667 13668 13669 13672
 13673 13676 13677 13681]",65233,2070537995,4482892,2075020887,-0.8643138408660889
18,13989,-1.0746256113052368,-1.0746256113052368,False,[],[],[],10,64,"[13922 13923 13924 13925 13926 13927 13928 13930 13931 13932 13933 13934
 13935 13936 13937 13938 13939 13940 13941 13942 13943 13944 13945 13946
 13947 13948 13949 13950 13951 13952 13953 13954 13955 13956 13957 13958
 13959 13960 13961 13962 13963 13964 13965 13966 13967 13968 13969 13970
 13971 13972 13973 13974 13975 13976 13977 13978 13979 13980 13982 13983
 13985 13987 13988 13989]",79961,936463729,2650045,939113774,-0.8643138408660889
19,14333,-0.6054727435112,-0.3247460126876831,False,[14320.],[0.28072673],[0.28072673],20,64,"[14203 14204 14205 14207 14209 14210 14211 14213 14217 14218 14225 14234
 14235 14236 14238 14239 14245 14246 14248 14255 14258 14259 14260 14262
 14267 14271 14272 14273 14275 14277 14278 14280 14281 14282 14283 14284
 14286 14288 14290 14291 14294 14296 14298 14300 14301 14303 14306 14310
 14311 14314 14315 14316 14317 14319 14320 14321 14322 14323 14324 14325
 14326 14330 14332 14333]",63841,3693069516,4626732,3697696248,-0.8643138408660889
20,14459,-0.7933332920074463,-0.4827834665775299,False,[14450.],[0.31054983],[0.31054983],20,64,"[14380 14381 14382 14383 14384 14385 14387 14390 14391 14392 14394 14396
 14397 14398 14399 14400 14401 14402 14403 14404 14405 14407 14409 14410
 14411 14412 14416 14417 14418 14419 14420 14421 14422 14425 14427 14428
 14429 14431 14432 14433 14434 14435 14436 14437 14438 14439 14440 14441
 14443 14444 14445 14446 14447 14448 14449 14450 14451 14452 14453 14454
 14455 14457 14458 14459]",61446,1943774746,4320163,1948094909,-1.8213940858840942
21,14478,-1.3767361640930176,-1.329959750175476,False,[14472. 14460.],[0.02851403 0.01826239],[0.02851403 0.04677641],30,64,"[14398 14399 14401 14403 14404 14405 14407 14409 14410 14411 14412 14416
 14417 14418 14419 14420 14421 14422 14425 14426 14427 14428 14429 14431
 14432 14433 14434 14435 14436 14437 14438 14439 14440 14441 14443 14444
 14445 14446 14447 14448 14449 14450 14451 14452 14454 14455 14457 14458
 14459 14460 14462 14463 14464 14465 14466 14467 14468 14469 14470 14472
 14473 14476 14477 14478]",62699,2862384778,6183117,2868567895,-0.8643138408660889
22,14652,-0.6516879200935364,-0.37189942598342896,False,[14630. 14409. 14528. 14403.],[0.05329829 0.07404953 0.04455531 0.10788536],[0.05329829 0.12734783 0.17190313 0.27978849],50,64,"[14308 14327 14331 14346 14351 14353 14355 14368 14372 14378 14381 14382
 14386 14395 14403 14406 14408 14409 14411 14418 14420 14421 14424 14425
 14426 14428 14429 14431 14433 14434 14439 14442 14447 14448 14451 14452
 14457 14458 14463 14465 14466 14467 14471 14497 14506 14519 14521 14528
 14534 14539 14540 14543 14595 14614 14615 14630 14638 14640 14641 14642
 14643 14647 14649 14652]",60985,5380858775,10182774,5391041549,-0.8643138408660889
