,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12090,0.4178480803966522,-0.1369919627904892,True,[12086.],[0.55484004],[0.55484004],10,64,"[12025 12026 12027 12028 12029 12030 12031 12032 12033 12034 12035 12036
 12037 12038 12039 12040 12041 12042 12043 12044 12045 12046 12047 12048
 12049 12050 12051 12052 12053 12054 12055 12056 12057 12058 12059 12060
 12061 12062 12064 12065 12066 12067 12068 12069 12070 12071 12072 12073
 12074 12075 12076 12077 12078 12079 12081 12082 12083 12084 12085 12086
 12087 12088 12089 12090]",57469,886045421,2071418,888116839,-0.8643138408660889
1,12171,6.600631237030029,-0.045537952333688736,True,[12169. 12167. 12160. 12162. 12157. 12158. 12166. 12161. 12153.],"[0.30974674 0.24687481 0.50339317 0.78898954 0.29460526 1.32473207
 0.07166457 0.0355854  3.07057763]","[0.30974674 0.55662155 1.06001472 1.84900427 2.14360952 3.46834159
 3.54000616 3.57559156 6.64616919]",90,64,"[12107 12108 12109 12110 12111 12112 12113 12114 12115 12116 12117 12118
 12119 12120 12121 12122 12123 12124 12125 12126 12127 12128 12130 12131
 12132 12133 12134 12135 12136 12137 12138 12139 12140 12141 12142 12143
 12144 12145 12146 12147 12148 12149 12150 12151 12152 12153 12154 12155
 12156 12157 12158 12159 12160 12161 12162 12163 12164 12165 12166 12167
 12168 12169 12170 12171]",55215,7759093219,17726034,7776819253,6.342468738555908
2,12440,4.081359386444092,-0.10605275630950928,True,[12439. 12436. 12435. 12434.],[2.72311592 0.19346368 1.03122057 0.23961197],[2.72311592 2.9165796  3.94780017 4.18741214],40,64,"[12376 12377 12378 12379 12380 12381 12382 12383 12384 12385 12386 12387
 12388 12389 12390 12391 12392 12393 12394 12395 12396 12397 12398 12399
 12400 12401 12402 12403 12404 12405 12406 12407 12408 12409 12410 12411
 12412 12413 12414 12415 12416 12417 12418 12419 12420 12421 12422 12423
 12425 12426 12427 12428 12429 12430 12431 12432 12433 12434 12435 12436
 12437 12438 12439 12440]",60805,3847413891,8018396,3855432287,6.627134799957275
3,12550,1.1073442697525024,0.685939610004425,False,[12546. 12539. 12541. 12540. 12533. 12532. 12548. 12535. 12545.],"[0.33633673 0.07599318 0.00221443 0.00162888 0.00094569 0.00133681
 0.00177789 0.00042903 0.00074202]","[0.33633673 0.41232991 0.41454434 0.41617322 0.41711891 0.41845572
 0.42023361 0.42066264 0.42140466]",100,64,"[12483 12484 12485 12486 12487 12488 12489 12490 12491 12492 12493 12494
 12495 12496 12497 12499 12500 12501 12502 12503 12504 12505 12506 12507
 12508 12509 12510 12511 12512 12513 12514 12515 12516 12517 12518 12519
 12520 12521 12522 12523 12524 12525 12526 12527 12528 12529 12530 12531
 12532 12533 12534 12535 12536 12537 12538 12539 12540 12541 12545 12546
 12547 12548 12549 12550]",57038,9002567932,20029142,9022597074,-0.8643138408660889
4,12694,0.7780046463012695,0.5875294208526611,False,[12665. 12666. 12661. 12610.],[0.02560633 0.12930411 0.02028149 0.01528329],[0.02560633 0.15491045 0.17519194 0.19047523],50,64,"[12280 12282 12292 12296 12300 12303 12304 12309 12315 12327 12330 12366
 12367 12374 12375 12378 12380 12390 12393 12395 12398 12413 12421 12426
 12428 12432 12435 12436 12437 12443 12449 12450 12458 12461 12462 12466
 12469 12473 12483 12485 12491 12506 12507 12512 12524 12532 12545 12547
 12558 12566 12584 12587 12589 12610 12611 12612 12613 12617 12618 12641
 12661 12665 12666 12694]",58190,5586949577,9422704,5596372281,1.3764501810073853
5,12834,1.347882628440857,1.1825249195098877,False,[12824.],[0.16535771],[0.16535771],20,64,"[12759 12760 12761 12762 12763 12764 12765 12766 12767 12768 12769 12770
 12771 12772 12773 12774 12775 12776 12777 12778 12779 12780 12781 12782
 12784 12785 12786 12787 12788 12789 12790 12791 12792 12793 12794 12798
 12799 12800 12802 12803 12804 12805 12806 12808 12810 12813 12814 12815
 12816 12817 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12833 12834]",61797,1931604605,4440442,1936045047,-0.8643138408660889
6,12908,0.2919173836708069,0.19539089500904083,False,[12894.],[0.09652649],[0.09652649],20,64,"[12803 12804 12805 12810 12813 12815 12817 12818 12819 12822 12824 12825
 12826 12827 12828 12829 12830 12831 12832 12833 12834 12835 12837 12838
 12839 12840 12841 12842 12844 12845 12846 12847 12848 12849 12856 12857
 12859 12860 12861 12865 12871 12872 12873 12874 12875 12878 12879 12880
 12881 12882 12883 12885 12886 12890 12892 12893 12894 12897 12898 12900
 12902 12904 12905 12908]",57619,2017109294,4068685,2021177979,-0.8643138408660889
7,12921,2.4462411403656006,1.945421814918518,False,[12913.],[0.50081933],[0.50081933],20,64,"[12835 12836 12837 12838 12839 12841 12842 12843 12844 12845 12846 12847
 12848 12849 12850 12851 12852 12853 12854 12855 12856 12857 12858 12859
 12860 12861 12871 12872 12873 12874 12878 12879 12880 12881 12882 12885
 12886 12887 12888 12890 12891 12892 12893 12894 12895 12896 12897 12899
 12901 12902 12903 12905 12906 12907 12908 12909 12910 12911 12913 12914
 12915 12916 12917 12921]",62568,1853578049,4136303,1857714352,-0.8643138408660889
8,13150,6.208749294281006,5.731998920440674,False,[13140. 13144.],[0.27928686 0.19746351],[0.27928686 0.47675037],30,64,"[13082 13083 13084 13085 13086 13087 13088 13089 13090 13091 13092 13093
 13094 13095 13096 13097 13098 13100 13102 13103 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13115 13116 13117 13118 13119 13120
 13121 13122 13124 13125 13126 13127 13128 13129 13130 13131 13132 13133
 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144 13145 13146
 13147 13148 13149 13150]",57599,2886456008,6950439,2893406447,2.9967854022979736
9,13171,0.7060611248016357,0.28604036569595337,False,[13155. 13149.],[0.30700448 0.11301628],[0.30700448 0.42002076],30,64,"[13091 13094 13096 13097 13098 13099 13100 13102 13104 13105 13106 13107
 13108 13109 13110 13111 13112 13113 13114 13115 13116 13117 13118 13119
 13120 13121 13122 13123 13124 13125 13126 13127 13128 13129 13130 13131
 13132 13133 13134 13135 13136 13137 13138 13139 13140 13141 13143 13144
 13145 13146 13147 13148 13149 13150 13151 13152 13154 13155 13156 13157
 13160 13162 13170 13171]",60264,2821926342,6066500,2827992842,-0.5154003500938416
