,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12129,-1.435693383216858,-0.9959445595741272,False,[12117. 12093.],[0.42585731 0.01389152],[0.42585731 0.43974882],30,64,"[11849 11850 11856 11863 11864 11872 11875 11878 11880 11881 11893 11896
 11897 11898 11899 11906 11909 11915 11917 11927 11940 11945 11948 11954
 11959 11963 11964 11967 11970 11971 11976 11990 11995 11998 12005 12013
 12014 12018 12026 12028 12036 12045 12046 12051 12057 12070 12073 12076
 12077 12079 12083 12089 12090 12091 12093 12095 12100 12105 12106 12108
 12115 12117 12123 12129]",62437,3138011791,6069850,3144081641,-1.6152361631393433
1,12445,-2.531658172607422,-2.531658172607422,False,[],[],[],10,64,"[12324 12328 12330 12331 12332 12336 12338 12340 12342 12343 12344 12346
 12347 12353 12354 12355 12359 12361 12362 12363 12365 12367 12368 12370
 12374 12375 12376 12377 12379 12380 12381 12383 12384 12385 12388 12393
 12394 12395 12400 12401 12403 12404 12405 12406 12407 12408 12411 12413
 12415 12418 12421 12423 12425 12426 12427 12428 12429 12432 12435 12436
 12437 12442 12443 12445]",62487,974080587,2032688,976113275,-0.8643138408660889
2,12531,-0.9921270608901978,-0.49708494544029236,False,[12530. 12522. 12525. 12519. 12520.],"[4.87343490e-01 4.75257635e-03 1.39510632e-03 1.93327665e-04
 1.35761499e-03]",[0.48734349 0.49209607 0.49349117 0.4936845  0.49504212],60,64,"[12408 12411 12413 12415 12418 12421 12423 12425 12426 12427 12428 12429
 12432 12435 12436 12437 12442 12443 12445 12449 12450 12454 12455 12458
 12459 12460 12461 12462 12464 12465 12466 12469 12472 12475 12480 12481
 12482 12485 12491 12495 12496 12498 12499 12501 12502 12503 12504 12505
 12506 12511 12512 12513 12516 12517 12518 12519 12520 12522 12524 12525
 12527 12528 12530 12531]",60845,5918006385,12723195,5930729580,-0.8643138408660889
3,12567,-1.6454803943634033,-0.6571621894836426,False,[12561. 12560. 12526. 12090. 12127.],"[6.11097097e-01 3.37044239e-01 3.94845009e-02 6.92248344e-04
 1.19209290e-07]",[0.6110971  0.94814134 0.98762584 0.98831809 0.9883182 ],60,64,"[10923 10927 10930 10942 10956 10975 10980 10982 10990 11270 11306 11307
 11308 11398 11518 11668 11709 11727 11746 11747 11754 11755 11757 11760
 11764 11791 11808 11817 11839 11861 11910 11925 11930 11933 11936 11946
 11947 11949 11951 11953 11955 11958 11961 11962 11993 12002 12007 12040
 12042 12087 12090 12094 12097 12101 12110 12127 12134 12414 12415 12418
 12526 12560 12561 12567]",60454,10289085468,10830792,10299916260,-3.2032132148742676
4,12734,-1.0058088302612305,-1.0058088302612305,False,[],[],[],10,64,"[12635 12636 12637 12638 12639 12640 12641 12642 12644 12645 12646 12647
 12648 12649 12650 12651 12652 12653 12654 12655 12656 12657 12658 12660
 12661 12663 12664 12665 12666 12670 12671 12673 12674 12675 12677 12679
 12680 12682 12683 12684 12686 12687 12690 12694 12696 12699 12702 12704
 12706 12708 12710 12712 12713 12722 12723 12724 12725 12727 12728 12730
 12731 12732 12733 12734]",62198,891264549,2123888,893388437,-0.8643138408660889
5,12757,-1.4617573022842407,-0.09417630732059479,False,[12743.],[1.36758099],[1.36758099],20,64,"[12461 12462 12466 12483 12485 12491 12506 12532 12538 12543 12545 12547
 12562 12566 12568 12573 12577 12579 12580 12581 12582 12583 12584 12586
 12590 12610 12611 12612 12613 12617 12629 12634 12640 12642 12659 12661
 12664 12665 12666 12671 12684 12686 12687 12690 12694 12708 12710 12712
 12723 12724 12727 12730 12731 12733 12734 12737 12740 12742 12743 12745
 12747 12753 12756 12757]",59332,2189461041,3746690,2193207731,-0.8643138408660889
6,12880,-1.2322936058044434,0.2868458330631256,True,[12878. 12873.],[0.88166738 0.63747206],[0.88166738 1.51913944],20,64,"[12758 12759 12763 12764 12766 12768 12769 12774 12776 12777 12778 12781
 12784 12785 12788 12791 12792 12794 12799 12803 12804 12808 12810 12813
 12814 12815 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12834 12835 12837 12838 12839 12842 12844 12845 12846 12847
 12848 12849 12852 12853 12855 12856 12857 12859 12860 12861 12865 12871
 12873 12874 12878 12880]",60414,1882393080,4269115,1886662195,-0.6842081546783447
7,12889,-0.17671050131320953,0.5565667152404785,True,[12884. 12887.],[0.15562726 0.57764995],[0.15562726 0.73327722],20,64,"[12764 12766 12771 12772 12773 12774 12775 12776 12779 12780 12785 12787
 12788 12789 12791 12794 12799 12803 12806 12808 12810 12813 12814 12815
 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830 12831 12832
 12833 12834 12837 12838 12839 12841 12842 12844 12846 12847 12848 12849
 12857 12859 12860 12862 12865 12872 12874 12875 12878 12881 12883 12884
 12885 12886 12887 12889]",60263,2198979120,4172844,2203151964,-0.6574375033378601
8,12923,-1.6881581544876099,-1.6245732307434082,False,[12912.],[0.06358492],[0.06358492],20,64,"[12832 12833 12834 12835 12836 12837 12838 12839 12840 12841 12842 12843
 12844 12845 12846 12847 12848 12849 12850 12851 12854 12856 12857 12858
 12859 12860 12861 12863 12864 12865 12869 12870 12871 12872 12873 12874
 12878 12879 12880 12881 12882 12885 12886 12887 12890 12892 12893 12894
 12895 12896 12897 12904 12905 12908 12909 12910 12912 12913 12914 12916
 12917 12921 12922 12923]",60083,1835309803,4308882,1839618685,-0.8643138408660889
9,12954,0.022777657955884933,-1.475848913192749,True,[12931.],[1.49862657],[1.49862657],10,64,"[12731 12733 12735 12737 12739 12743 12745 12748 12752 12753 12756 12758
 12759 12767 12768 12769 12774 12782 12788 12791 12792 12804 12827 12830
 12831 12834 12837 12838 12858 12859 12863 12864 12865 12869 12870 12874
 12875 12877 12878 12880 12881 12883 12886 12890 12893 12898 12900 12904
 12905 12909 12913 12914 12916 12917 12919 12928 12931 12938 12942 12946
 12947 12948 12950 12954]",59622,1913995002,2126763,1916121765,2.060736656188965
