,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,12129,-1.435693383216858,-0.9959445595741272,False,[12117. 12093.],[0.43797344 0.00177538],[0.43797344 0.43974882],30,64,"[11849 11850 11856 11863 11864 11872 11875 11878 11880 11881 11893 11896
 11897 11898 11899 11906 11909 11915 11917 11927 11940 11945 11948 11954
 11959 11963 11964 11967 11970 11971 11976 11990 11995 11998 12005 12013
 12014 12018 12026 12028 12036 12045 12046 12051 12057 12070 12073 12076
 12077 12079 12083 12089 12090 12091 12093 12095 12100 12105 12106 12108
 12115 12117 12123 12129]",72507,3221947746,7576194,3229523940,-1.6152361631393433
1,12445,-2.531658172607422,-2.531658172607422,False,[],[],[],10,64,"[12324 12328 12330 12331 12332 12336 12338 12340 12342 12343 12344 12346
 12347 12353 12354 12355 12359 12361 12362 12363 12365 12367 12368 12370
 12374 12375 12376 12377 12379 12380 12381 12383 12384 12385 12388 12393
 12394 12395 12400 12401 12403 12404 12405 12406 12407 12408 12411 12413
 12415 12418 12421 12423 12425 12426 12427 12428 12429 12432 12435 12436
 12437 12442 12443 12445]",64071,907090099,2847035,909937134,-0.8643138408660889
2,12531,-0.9921270608901978,-0.50191730260849,False,[12530. 12525.],[4.90131319e-01 7.84397125e-05],[0.49013132 0.49020976],30,64,"[12408 12411 12413 12415 12418 12421 12423 12425 12426 12427 12428 12429
 12432 12435 12436 12437 12442 12443 12445 12449 12450 12454 12455 12458
 12459 12460 12461 12462 12464 12465 12466 12469 12472 12475 12480 12481
 12482 12485 12491 12495 12496 12498 12499 12501 12502 12503 12504 12505
 12506 12511 12512 12513 12516 12517 12518 12519 12520 12522 12524 12525
 12527 12528 12530 12531]",58400,2740647545,8529107,2749176652,-0.8643138408660889
3,12567,-1.6454803943634033,-0.6571621894836426,False,[12561. 12560. 12526. 12090. 12127.],"[6.11097097e-01 3.37044239e-01 3.94845009e-02 6.92248344e-04
 1.19209290e-07]",[0.6110971  0.94814134 0.98762584 0.98831809 0.9883182 ],60,64,"[10923 10927 10930 10942 10956 10975 10980 10982 10990 11270 11306 11307
 11308 11398 11518 11668 11709 11727 11746 11747 11754 11755 11757 11760
 11764 11791 11808 11817 11839 11861 11910 11925 11930 11933 11936 11946
 11947 11949 11951 11953 11955 11958 11961 11962 11993 12002 12007 12040
 12042 12087 12090 12094 12097 12101 12110 12127 12134 12414 12415 12418
 12526 12560 12561 12567]",63500,10055712949,14823398,10070536347,-3.2032132148742676
4,12734,-1.0058088302612305,-0.40990564227104187,False,[12694. 12640.],[0.36671406 0.22918913],[0.36671406 0.59590319],30,64,"[12635 12636 12637 12638 12639 12640 12641 12642 12644 12645 12646 12647
 12648 12649 12650 12651 12652 12653 12654 12655 12656 12657 12658 12660
 12661 12663 12664 12665 12666 12670 12671 12673 12674 12675 12677 12679
 12680 12682 12683 12684 12686 12687 12690 12694 12696 12699 12702 12704
 12706 12708 12710 12712 12713 12722 12723 12724 12725 12727 12728 12730
 12731 12732 12733 12734]",58039,2822431877,7813881,2830245758,-0.7006312012672424
5,12757,-1.4617573022842407,0.40168219804763794,True,[12666.],[1.8634395],[1.8634395],10,64,"[12461 12462 12466 12483 12485 12491 12506 12532 12538 12543 12545 12547
 12562 12566 12568 12573 12577 12579 12580 12581 12582 12583 12584 12586
 12590 12610 12611 12612 12613 12617 12629 12634 12640 12642 12659 12661
 12664 12665 12666 12671 12684 12686 12687 12690 12694 12708 12710 12712
 12723 12724 12727 12730 12731 12733 12734 12737 12740 12742 12743 12745
 12747 12753 12756 12757]",80432,1191807535,2722801,1194530336,-0.4654921293258667
6,12880,-1.2322936058044434,0.3530951142311096,True,[12878. 12873.],[0.96089098 0.62449774],[0.96089098 1.58538872],20,64,"[12758 12759 12763 12764 12766 12768 12769 12774 12776 12777 12778 12781
 12784 12785 12788 12791 12792 12794 12799 12803 12804 12808 12810 12813
 12814 12815 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830
 12831 12832 12834 12835 12837 12838 12839 12842 12844 12845 12846 12847
 12848 12849 12852 12853 12855 12856 12857 12859 12860 12861 12865 12871
 12873 12874 12878 12880]",58120,2154316168,5343658,2159659826,-0.6842081546783447
7,12889,-0.17671050131320953,0.402164489030838,True,[12780.],[0.57887499],[0.57887499],10,64,"[12764 12766 12771 12772 12773 12774 12775 12776 12779 12780 12785 12787
 12788 12789 12791 12794 12799 12803 12806 12808 12810 12813 12814 12815
 12818 12819 12822 12824 12825 12826 12827 12828 12829 12830 12831 12832
 12833 12834 12837 12838 12839 12841 12842 12844 12846 12847 12848 12849
 12857 12859 12860 12862 12865 12872 12874 12875 12878 12881 12883 12884
 12885 12886 12887 12889]",59291,1186656924,2407934,1189064858,-1.0718379020690918
8,12923,-1.6881581544876099,-1.1654523611068726,False,[12912. 12905. 12897. 12913. 12922.],[0.04514122 0.05209947 0.03376317 0.31308568 0.07861626],[0.04514122 0.09724069 0.13100386 0.44408953 0.52270579],60,64,"[12832 12833 12834 12835 12836 12837 12838 12839 12840 12841 12842 12843
 12844 12845 12846 12847 12848 12849 12850 12851 12854 12856 12857 12858
 12859 12860 12861 12863 12864 12865 12869 12870 12871 12872 12873 12874
 12878 12879 12880 12881 12882 12885 12886 12887 12890 12892 12893 12894
 12895 12896 12897 12904 12905 12908 12909 12910 12912 12913 12914 12916
 12917 12921 12922 12923]",62718,5368288609,14825669,5383114278,-1.022819995880127
9,12954,0.022777657955884933,-1.7992695569992065,True,[12931.],[1.82204721],[1.82204721],10,64,"[12731 12733 12735 12737 12739 12743 12745 12748 12752 12753 12756 12758
 12759 12767 12768 12769 12774 12782 12788 12791 12792 12804 12827 12830
 12831 12834 12837 12838 12858 12859 12863 12864 12865 12869 12870 12874
 12875 12877 12878 12880 12881 12883 12886 12890 12893 12898 12900 12904
 12905 12909 12913 12914 12916 12917 12919 12928 12931 12938 12942 12946
 12947 12948 12950 12954]",69211,1348085688,2885968,1350971656,2.060736656188965
10,13028,-0.3717139959335327,0.3654770255088806,True,[13007.],[0.73719102],[0.73719102],10,64,"[12929 12930 12932 12934 12935 12936 12939 12940 12941 12943 12944 12945
 12946 12947 12948 12949 12950 12951 12952 12953 12957 12958 12959 12960
 12961 12962 12963 12964 12965 12966 12968 12969 12970 12971 12974 12975
 12978 12982 12983 12984 12985 12987 12990 12991 12994 12996 12999 13001
 13002 13004 13005 13007 13008 13010 13011 13013 13014 13017 13019 13020
 13021 13022 13027 13028]",59152,1055224204,2827169,1058051373,-2.3884055614471436
11,13144,-0.6196942329406738,0.15306757390499115,True,[13138. 13137. 13125. 13136.],[0.18915313 0.17913699 0.14204448 0.2624272 ],[0.18915313 0.36829013 0.51033461 0.77276181],40,64,"[13069 13070 13073 13078 13080 13081 13082 13083 13084 13085 13086 13087
 13088 13089 13090 13091 13092 13094 13095 13096 13097 13098 13100 13102
 13104 13105 13106 13107 13108 13109 13110 13111 13112 13113 13114 13115
 13116 13117 13118 13119 13120 13121 13122 13123 13124 13125 13126 13127
 13128 13129 13130 13131 13132 13133 13134 13135 13136 13137 13138 13139
 13140 13141 13143 13144]",58530,3727119920,9562935,3736682855,-2.56937575340271
12,13168,-1.337671160697937,-0.8635756373405457,False,[13005.],[0.47409552],[0.47409552],20,24,"[ 4443  6492  7449  7450  7457  7458  7506  7509  7960  7971  7983  7992
  9551  9866 11361 11610 11641 12662 13002 13005 13017 13041 13142 13168]",59973,8579912850,4536892,8584449742,-1.4547576904296875
13,13302,-1.1499416828155518,-1.1499416828155518,False,[],[],[],10,64,"[13226 13230 13232 13233 13235 13236 13237 13238 13240 13241 13242 13244
 13245 13246 13247 13248 13249 13250 13251 13252 13254 13255 13256 13257
 13258 13259 13261 13262 13263 13264 13265 13266 13268 13269 13270 13271
 13272 13273 13274 13275 13276 13277 13278 13279 13280 13281 13282 13283
 13284 13285 13287 13288 13289 13290 13291 13292 13294 13295 13296 13297
 13298 13300 13301 13302]",58941,970407845,2494509,972902354,-0.8643138408660889
14,13439,-0.15249864757061005,0.3643576502799988,True,[13437.],[0.5168563],[0.5168563],10,64,"[13372 13373 13374 13375 13376 13377 13378 13379 13380 13381 13382 13383
 13384 13385 13386 13387 13388 13389 13390 13391 13392 13393 13394 13395
 13396 13397 13398 13399 13400 13401 13402 13403 13404 13405 13407 13408
 13409 13410 13411 13412 13414 13415 13416 13417 13418 13419 13420 13421
 13422 13423 13424 13427 13428 13429 13430 13431 13432 13433 13434 13435
 13436 13437 13438 13439]",62168,1023551171,2699587,1026250758,-0.8643138408660889
