,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31854,5.169068336486816,2.8078949451446533,False,[31536. 27527. 30193. 27482.],[0.8222909  0.78380346 0.25606847 0.49901056],[0.8222909  1.60609436 1.86216283 2.36117339],363,64,"[27465 27482 27489 27494 27510 27516 27518 27523 27526 27527 27529 27533
 27539 27552 27575 27581 27626 27632 27635 27654 27663 27702 27758 27765
 27773 27779 27785 27788 27793 27809 27813 27864 27897 28090 28147 28671
 28683 28761 28875 28882 28891 28907 28909 28915 29135 29366 29740 29896
 30193 30407 30484 30499 30711 31194 31319 31382 31451 31489 31536 31606
 31738 31785 31822 31854]",301,0,56037848,175824236349,467231673,176291468022,5.352914810180664
1,32366,6.073734283447266,5.035828590393066,False,[32326. 32158.],[0.31833792 0.71956778],[0.31833792 1.03790569],345,46,"[31967 31971 31974 31976 31982 31985 31991 32002 32008 32019 32039 32041
 32044 32049 32052 32054 32056 32060 32062 32092 32094 32098 32099 32104
 32107 32120 32126 32129 32158 32162 32178 32182 32189 32205 32208 32220
 32225 32256 32267 32279 32282 32294 32306 32326 32329 32366]",301,0,37809949,116383107881,368905690,116752013571,7.276766777038574
2,32434,4.795732021331787,3.775406837463379,False,[32353. 32262. 32184.],[0.29124594 0.33926582 0.38981342],[0.29124594 0.63051176 1.02032518],330,31,"[32074 32076 32088 32091 32101 32106 32122 32131 32141 32145 32154 32156
 32161 32170 32177 32184 32212 32216 32243 32245 32255 32257 32262 32303
 32312 32335 32353 32358 32370 32406 32434]",301,0,24624428,105593227358,329729868,105922957226,5.667656898498535
3,32466,5.53743314743042,3.684335708618164,False,[32451. 22301. 31067. 22305.],[9.74599361e-01 0.00000000e+00 8.77703667e-01 7.94410706e-04],[0.97459936 0.97459936 1.85230303 1.85309744],363,64,"[22301 22305 22499 22534 22539 22543 22572 23525 23529 23534 23541 23546
 24760 24774 27308 27311 27335 27378 27384 27458 27460 27465 27482 27494
 27510 27516 27518 27523 27526 27529 27539 27552 27553 27575 27581 27626
 27632 27635 27702 27758 27765 27779 27785 27788 27793 27809 27813 28702
 28710 31000 31067 31589 32270 32292 32325 32334 32336 32337 32400 32411
 32421 32430 32451 32466]",301,0,53440520,162442015446,463783078,162905798524,6.68318510055542
4,32643,7.67171573638916,5.464482307434082,False,[32640. 32485.],[1.29803514 0.90919828],[1.29803514 2.20723343],363,64,"[ 1557  1585  1757  1761  1786  1790  1806  1810  1814  1818  1917  1940
  1952  2048  2052  2258  2948  3921  4317  4537  4902  5924  5929  6076
  8204  8419  9446 10488 10534 10535 10705 10706 11069 12914 13053 13570
 14547 14897 15552 15628 16403 22735 25528 25530 25535 29265 29279 32311
 32327 32340 32346 32373 32398 32404 32407 32478 32485 32505 32519 32583
 32594 32610 32640 32643]",301,0,53930089,190533462146,421465806,190954927952,6.783194541931152
5,32833,9.355757713317871,-0.4409114420413971,True,[32803.  3086. 32739. 32740. 32792. 32821.],[ 2.37984943  0.41543198 -0.09401464 -0.41917753  0.44645357  7.06812635],[2.37984943 2.79528141 2.70126677 2.28208923 2.7285428  9.79666916],63,7,[ 3086 32739 32740 32792 32803 32821 32833],37,1,5241081,29785050503,1040380121,30825430624,7.629975318908691
6,33253,7.305932998657227,4.765992164611816,False,[33235. 33066. 32994. 32888.],[1.34384966 0.86675787 0.30147123 0.02786207],[1.34384966 2.21060753 2.51207876 2.53994083],363,64,"[31717 31727 32270 32292 32325 32334 32336 32337 32400 32411 32421 32430
 32689 32699 32713 32717 32726 32728 32743 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32828 32839 32844 32846 32866 32869
 32871 32880 32882 32885 32888 32901 32909 32912 32913 32925 32928 32939
 32941 32964 32967 32969 32973 32994 32997 33006 33036 33055 33066 33211
 33214 33227 33235 33253]",301,0,54436669,141552604559,435054332,141987658891,8.430254936218262
7,33868,8.572858810424805,5.529875755310059,False,[33862. 31805.],[2.72761726 0.31536579],[2.72761726 3.04298306],363,64,"[27809 27813 27833 28067 28069 28070 28074 28080 28082 28804 29013 29037
 29046 31805 31826 31836 31909 31939 31969 32270 32292 32325 32334 32336
 32337 32400 32411 32421 32430 32713 32717 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882
 32885 32909 32910 32912 32913 32925 32939 32941 33026 33063 33143 33154
 33814 33847 33862 33868]",301,0,54530414,162628707103,459318648,163088025751,5.548313140869141
8,33930,8.312777519226074,4.1662774085998535,False,[33927. 33921.],[2.82624912 1.32025099],[2.82624912 4.14650011],345,46,"[ 1626  1630  1631  1632  1635  1639  1643  1691  4676  4677  4681  4689
  4690  4691  4693  4699  4787  5199  5201  5205  5207  5913  8627  8635
  8637  8639  8640  8642  8645  8649  8650  9349 10395 28472 29367 29372
 29373 29381 29384 29461 30498 30513 31530 33921 33927 33930]",301,0,37585439,128147135793,383516662,128530652455,8.933955192565918
9,34098,7.164463996887207,1.3626387119293213,False,[33045. 32894. 34022. 33798. 33893. 33705.],[ 0.07144642  1.97530079  1.77775669  0.85725951 -0.55719447  1.67725635],[0.07144642 2.04674721 3.8245039  4.68176341 4.12456894 5.80182528],363,64,"[31533 31557 31586 31593 31597 31599 31606 31609 31620 31623 31627 31682
 31707 31710 31742 31757 31774 31856 31908 31921 31954 32291 32320 32328
 32347 32369 32414 32424 32457 32599 32616 32621 32622 32894 32899 32961
 33030 33041 33042 33045 33058 33307 33316 33403 33417 33425 33455 33493
 33563 33600 33602 33657 33660 33682 33705 33793 33798 33867 33893 33943
 33964 34022 34093 34098]",301,0,55426430,178463786188,632716979,179096503167,8.049883842468262
10,34904,6.979183197021484,6.531278133392334,False,[34885. 33384.],[0.1253233  0.32258177],[0.1253233  0.44790506],363,64,"[31229 31238 31241 31246 31260 31311 31322 32270 32292 32325 32334 32336
 32337 32400 32411 32421 32430 32713 32717 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882
 32885 32909 32912 32913 32925 32939 32941 33384 33437 33653 33848 33849
 33852 33857 33858 33866 33869 34867 34868 34872 34873 34877 34882 34883
 34885 34888 34895 34904]",301,0,54852452,145638134400,496148244,146134282644,5.001669406890869
11,34912,5.367610454559326,4.685523986816406,False,[33715. 33541.],[0.33381319 0.34827328],[0.33381319 0.68208647],363,64,"[31683 31714 31717 31727 32689 32699 32726 32728 32743 32828 32871 32880
 32888 32901 32928 32964 32967 32969 32973 32994 32997 33006 33036 33055
 33066 33211 33214 33227 33235 33253 33281 33339 33387 33392 33400 33401
 33434 33481 33507 33520 33535 33539 33541 33593 33594 33625 33630 33638
 33640 33649 33659 33662 33669 33715 34610 34618 34632 34703 34840 34892
 34897 34903 34907 34912]",301,0,54952892,165357125756,466419877,165823545633,-6.583136081695557
