,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31868,-1.7099794149398804,-1.7099794149398804,False,[],[],[],301,64,"[25087 25099 25214 25310 25550 25552 25664 25668 25692 25833 25896 25990
 26036 26044 26050 26060 26072 26522 26580 27204 27466 27481 27526 27702
 28636 28688 28979 28999 29366 29884 29890 29899 29920 29922 29945 30039
 30062 30070 30073 30198 30204 30227 30234 30407 30562 30618 30810 30816
 30820 30861 30899 30921 30940 30944 30997 31151 31153 31205 31244 31446
 31464 31809 31850 31868]",301,0,80823627,162265047462,581580476,162846627938,-0.4409114718437195
1,32181,-0.7823169231414795,0.29782676696777344,True,"[31537. 30847. 30852. 30854. 30862. 30866. 30879. 30882. 30898. 30909.
 30916. 30919. 30924. 30930. 30934. 30935. 30954. 30963. 30967. 30974.
 30977. 30980. 30984. 30987. 30988. 30992. 30995. 30999. 31001. 31031.
 32022.]","[ 7.07692862e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.40420008e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.58292688e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.99523282e-02
  0.00000000e+00  0.00000000e+00 -7.87094869e-02  6.71784319e-02
  0.00000000e+00  1.58107281e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -2.64912248e-02  1.09255314e-04  3.39596983e-01]","[0.70769286 0.70769286 0.70769286 0.70769286 0.70769286 0.71109706
 0.71109706 0.71109706 0.71109706 0.72692633 0.72692633 0.72692633
 0.72692633 0.72692633 0.72692633 0.77687866 0.77687866 0.77687866
 0.69816917 0.7653476  0.7653476  0.76692868 0.76692868 0.76692868
 0.76692868 0.76692868 0.76692868 0.76692868 0.74043745 0.74054671
 1.08014369]",301,64,"[30847 30852 30854 30862 30866 30879 30882 30898 30909 30916 30919 30924
 30930 30934 30935 30954 30963 30967 30974 30977 30980 30984 30987 30988
 30992 30995 30999 31001 31031 31035 31042 31060 31069 31070 31125 31197
 31307 31359 31372 31382 31458 31537 31554 31562 31576 31666 31680 31684
 31734 31737 31749 31754 31760 31768 31777 31830 31840 32004 32012 32022
 32128 32132 32140 32181]",134,3,1100804,197482633622,1923817924,199406451546,-1.9864037036895752
2,32276,-0.4409114420413971,-0.4409114420413971,False,[],[],[],0,1,[32276],0,0,941731,0,2140946,2140946,-0.4409114718437195
3,32430,-3.9068386554718018,-0.48886406421661377,False,[32421. 32142. 32078. 32081. 32083.],"[ 3.33853972e+00  7.94138908e-02 -1.40613317e-03  0.00000000e+00
  1.42711401e-03]",[3.33853972 3.41795361 3.41654748 3.41654748 3.41797459],301,64,"[32078 32081 32083 32089 32090 32093 32112 32114 32115 32134 32135 32142
 32159 32160 32168 32172 32183 32188 32190 32191 32192 32193 32196 32197
 32199 32200 32201 32207 32215 32217 32222 32223 32226 32230 32234 32235
 32236 32238 32240 32248 32249 32250 32253 32259 32260 32265 32269 32270
 32292 32295 32301 32318 32325 32328 32334 32336 32337 32372 32393 32400
 32411 32421 32423 32430]",301,0,1103050,100022264933,40917660766,140939925699,-5.390466690063477
4,32799,-6.794382572174072,-5.087582111358643,False,[32789. 32632.],[1.64478779 0.06201267],[1.64478779 1.70680046],301,64,"[32613 32618 32625 32626 32628 32632 32642 32658 32660 32662 32665 32671
 32672 32674 32675 32677 32678 32680 32682 32685 32686 32688 32689 32692
 32693 32695 32698 32699 32700 32701 32704 32705 32712 32713 32717 32719
 32726 32727 32728 32733 32736 32738 32742 32743 32744 32748 32750 32751
 32752 32757 32759 32766 32767 32769 32774 32776 32778 32779 32784 32789
 32791 32794 32798 32799]",301,0,1103517,93066916350,505704669,93572621019,-6.299057483673096
5,32986,-1.7409706115722656,-1.4385271072387695,False,[31802. 29996.],[0.30162764 0.00081587],[0.30162764 0.3024435 ],301,64,"[29914 29969 29996 30289 30382 30520 30694 30709 30730 30877 30962 30968
 31062 31126 31147 31184 31197 31219 31248 31269 31382 31411 31489 31492
 31495 31523 31642 31648 31660 31667 31672 31676 31691 31753 31778 31782
 31795 31802 31849 31850 31884 31904 32072 32271 32293 32399 32471 32477
 32525 32568 32625 32626 32756 32762 32774 32805 32817 32882 32899 32912
 32939 32955 32980 32986]",301,0,1125849,161802325757,507722529,162310048286,-2.9454102516174316
6,33476,-3.6063392162323,-3.0600695610046387,False,[33379. 31891.],[-0.41318345  0.95945311],[-0.41318345  0.54626966],301,64,"[31846 31891 31903 31933 31949 31961 31965 32022 32128 32132 32140 32211
 32302 32310 32317 32328 32342 32389 32395 32405 32411 32415 32416 32418
 32419 32422 32427 32429 32432 32469 32506 32511 32521 32596 32666 32697
 32722 32761 32765 32771 32788 32793 32814 32860 32899 32929 32939 32980
 32982 33000 33027 33053 33065 33249 33252 33257 33309 33344 33371 33375
 33379 33391 33397 33476]",301,0,1088888,147907582347,505697089,148413279436,-2.1376960277557373
7,33897,-1.0409342050552368,-0.6993926763534546,False,[33470. 32621. 32421. 32430. 32711.],"[3.37108254e-01 0.00000000e+00 0.00000000e+00 4.43303585e-03
 2.38418579e-07]",[0.33710825 0.33710825 0.33710825 0.34154129 0.34154153],301,64,"[32421 32430 32621 32711 32713 32717 32744 32748 32751 32752 32757 32776
 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882 32885
 32899 32909 32912 32913 32925 32939 32941 32961 33026 33063 33143 33154
 33219 33332 33337 33340 33342 33343 33350 33358 33360 33394 33396 33417
 33436 33440 33441 33447 33467 33470 33487 33555 33563 33584 33657 33702
 33707 33793 33867 33897]",301,0,1078116,128743854753,531910845,129275765598,-0.4409114718437195
8,34132,-0.7918164730072021,0.11119413375854492,True,[31419. 23125.],[0.23317647 0.66983414],[0.23317647 0.90301061],301,52,"[ 3163  3291  4219  4242  4772  4897  8587 10812 10953 10959 13534 13582
 13901 13986 14015 14405 15272 16050 16394 16560 16725 18125 18163 20469
 20532 20544 20558 20717 23125 24373 24377 24449 24458 24506 24552 24682
 24713 24727 25660 25701 25720 29681 29874 29910 31392 31419 31541 31659
 31686 33383 33398 34132]",295,3,3134866,207701424440,576365772,208277790212,-2.0806522369384766
9,34503,-1.7965495586395264,-1.3981294631958008,False,[34177. 29601.],[0.38294768 0.01547241],[0.38294768 0.3984201 ],301,64,"[29370 29377 29444 29446 29453 29458 29477 29599 29601 29914 29964 29996
 30129 30164 30192 30202 30235 30240 30289 30382 30387 30457 30520 30694
 30747 30758 30792 30801 30810 30861 31184 31197 31359 31372 31411 31576
 31884 32096 32103 32568 32596 32817 32955 32980 33161 33181 33189 33192
 33194 33374 33635 34070 34094 34100 34104 34116 34124 34142 34147 34149
 34177 34266 34454 34503]",301,0,101896563,159770576440,603084892,160373661332,-0.4409114718437195
10,36091,-2.795767307281494,-0.8496792316436768,False,[32558. 32430. 32411. 32421. 32474.],[ 0.83436799  0.35844135  0.         -0.1884234   0.94170213],[0.83436799 1.19280934 1.19280934 1.00438595 1.94608808],301,64,"[32411 32421 32430 32474 32504 32553 32558 32568 32574 32576 32601 32686
 32713 32717 32744 32748 32751 32752 32757 32776 32789 32794 32799 32800
 32810 32839 32844 32846 32866 32869 32882 32885 32909 32912 32913 32925
 32939 32941 32955 33109 33110 33608 33925 33926 33950 34149 34266 34372
 34738 34755 34778 34817 35146 35148 35501 35579 35635 35694 35829 35833
 35935 35941 35974 36091]",301,0,1108514,140757624875,841975992,141599600867,1.5940814018249512
11,36104,-1.3676478862762451,0.7276387214660645,True,[31140.],[2.09528661],[2.09528661],76,64,"[16489 16495 16496 16504 16528 16554 17398 19104 20799 20802 20807 20892
 25567 25581 25587 25640 25655 25662 25666 25674 25681 25689 25756 25777
 25781 25810 25813 25827 25831 25834 25839 25865 25879 25883 25888 25959
 25960 25966 25970 26006 26015 26020 26029 26033 26037 26041 28782 28784
 30429 30446 30477 30482 30496 30601 30643 30776 30788 30803 30845 31028
 31140 33101 34430 36104]",73,3,1103143,139028927719,104824667,139133752386,-0.4409114718437195
12,36277,-0.4409114420413971,-0.4409114420413971,False,[],[],[],0,1,[36277],0,0,910059,0,1985940,1985940,-0.4409114718437195
13,36972,-2.4648120403289795,-1.5789265632629395,False,[5591.],[0.88588548],[0.88588548],301,64,"[ 3263  3265  3268  3269  3271  3275  3276  3277  3279  3280  3285  3288
  3290  3292  3293  3296  3297  3300  3302  3303  3309  3312  3334  3335
  3344  3352  3359  3577  3579  5591  5615  5620  5639  5640  5657  5661
  5676  5691  5693  5697  5698  5704  5706  5711  5714  5715  5724  5728
  5754  5787  5799  5804  5805  5807  5808  5812  5813  5816  5841  6436
  6442  6445  7492 36972]",301,0,1111736,110628725064,512367993,111141093057,-2.1467533111572266
14,37241,-0.0008387230336666107,1.9808485507965088,True,[34968.],[1.98168727],[1.98168727],63,64,"[32885 32899 32909 32912 32913 32924 32925 32939 32941 32961 33075 33123
 33132 33140 33160 33221 33263 33417 33563 33657 33793 33867 34093 34106
 34151 34205 34362 34370 34378 34384 34387 34394 34755 34968 35019 35061
 35109 35236 35263 35331 35417 35501 35546 35547 35550 35577 35829 35848
 35890 35991 36305 36352 36482 36487 36516 36563 36567 36569 36628 36634
 36868 37033 37040 37241]",33,1,1090224,39793714760,73170147,39866884907,-0.4409114718437195
15,37297,-4.7390828132629395,-1.3088877201080322,False,"[37252.  3159.  3092.  3096.  3103.  3119.  3133.  3141.  3164.  3171.
  3177.  3207.  3214.  3237.  3246.  3281.  3299.  3306.]","[ 3.17620349e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.00202179e-04  0.00000000e+00  4.69954014e-02
  0.00000000e+00  0.00000000e+00 -1.17380619e-02  0.00000000e+00
  2.88653374e-03  0.00000000e+00  1.49984360e-02  9.55657959e-02
  0.00000000e+00  1.04783297e-01]","[3.17620349 3.17620349 3.17620349 3.17620349 3.17620349 3.17670369
 3.17670369 3.22369909 3.22369909 3.22369909 3.21196103 3.21196103
 3.21484756 3.21484756 3.229846   3.3254118  3.3254118  3.43019509]",301,64,"[ 3092  3096  3103  3119  3133  3141  3159  3164  3171  3177  3207  3214
  3237  3246  3281  3299  3306  3318  3327  3332  3337  3342  3347  3372
  3375  3548  3549  3553  3558  3563  3568  3591  4625  6010  6021  6026
  6036  6038  6114  6121  6129  6146  6163  6174  6196 10100 10112 10117
 10127 10151 10169 10171 10184 10189 16739 37178 37180 37181 37215 37252
 37268 37275 37286 37297]",301,0,1098477,124960299492,840364156,125800663648,-7.194567680358887
