,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31854,5.169068336486816,2.5496740341186523,False,[31536. 31738. 31822.],[0.8222909  0.60469818 1.19240522],[0.8222909  1.42698908 2.6193943 ],301,64,"[27465 27482 27489 27494 27510 27516 27518 27523 27526 27527 27529 27533
 27539 27552 27575 27581 27626 27632 27635 27654 27663 27702 27758 27765
 27773 27779 27785 27788 27793 27809 27813 27864 27897 28090 28147 28671
 28683 28761 28875 28882 28891 28907 28909 28915 29135 29366 29740 29896
 30193 30407 30484 30499 30711 31194 31319 31382 31451 31489 31536 31606
 31738 31785 31822 31854]",301,0,660168,145042690377,366143315,145408833692,6.531933307647705
1,32366,6.073734283447266,5.035828590393066,False,[32158. 32326.],[0.76561165 0.27229404],[0.76561165 1.03790569],301,46,"[31967 31971 31974 31976 31982 31985 31991 32002 32008 32019 32039 32041
 32044 32049 32052 32054 32056 32060 32062 32092 32094 32098 32099 32104
 32107 32120 32126 32129 32158 32162 32178 32182 32189 32205 32208 32220
 32225 32256 32267 32279 32282 32294 32306 32326 32329 32366]",301,0,627864,100888551076,333684879,101222235955,7.276766777038574
2,32434,4.795732021331787,3.8416268825531006,False,[32184. 32262.],[0.72884941 0.22525573],[0.72884941 0.95410514],301,31,"[32074 32076 32088 32091 32101 32106 32122 32131 32141 32145 32154 32156
 32161 32170 32177 32184 32212 32216 32243 32245 32255 32257 32262 32303
 32312 32335 32353 32358 32370 32406 32434]",301,0,575727,96149413990,281702586,96431116576,5.256621837615967
3,32466,5.53743314743042,3.6851301193237305,False,[31067. 32451.],[0.32047415 1.53182888],[0.32047415 1.85230303],301,64,"[22301 22305 22499 22534 22539 22543 22572 23525 23529 23534 23541 23546
 24760 24774 27308 27311 27335 27378 27384 27458 27460 27465 27482 27494
 27510 27516 27518 27523 27526 27529 27539 27552 27553 27575 27581 27626
 27632 27635 27702 27758 27765 27779 27785 27788 27793 27809 27813 28702
 28710 31000 31067 31589 32270 32292 32325 32334 32336 32337 32400 32411
 32421 32430 32451 32466]",301,0,636552,134272720384,412580055,134685300439,6.68318510055542
4,32643,7.67171573638916,4.9005327224731445,False,[32485. 32610. 32640.],[ 0.09288073 -0.18226576  2.86056805],[ 0.09288073 -0.08938503  2.77118301],301,64,"[ 1557  1585  1757  1761  1786  1790  1806  1810  1814  1818  1917  1940
  1952  2048  2052  2258  2948  3921  4317  4537  4902  5924  5929  6076
  8204  8419  9446 10488 10534 10535 10705 10706 11069 12914 13053 13570
 14547 14897 15552 15628 16403 22735 25528 25530 25535 29265 29279 32311
 32327 32340 32346 32373 32398 32404 32407 32478 32485 32505 32519 32583
 32594 32610 32640 32643]",301,0,623823,156758053109,404865597,157162918706,7.199055194854736
5,32833,9.355757713317871,-0.4409114420413971,True,[32803.  3086. 32821. 32792. 32740. 32739.],[ 2.37984943  0.41543198  0.59809685  0.67397451 -1.66033363  7.38965002],[2.37984943 2.79528141 3.39337826 4.06735277 2.40701914 9.79666916],63,7,[ 3086 32739 32740 32792 32803 32821 32833],29,1,555881,29785050503,826476072,30611526575,7.629975318908691
6,33253,7.305932998657227,4.919923305511475,False,[32888. 33227. 33235.],[ 0.17982435 -0.02436495  2.23055029],[0.17982435 0.1554594  2.38600969],301,64,"[31717 31727 32270 32292 32325 32334 32336 32337 32400 32411 32421 32430
 32689 32699 32713 32717 32726 32728 32743 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32828 32839 32844 32846 32866 32869
 32871 32880 32882 32885 32888 32901 32909 32912 32913 32925 32928 32939
 32941 32964 32967 32969 32973 32994 32997 33006 33036 33055 33066 33211
 33214 33227 33235 33253]",301,0,660211,116693043315,415299580,117108342895,6.683292388916016
7,33868,8.572858810424805,5.529875755310059,False,[31805. 33862.],[-1.64413452e-03  3.04462719e+00],[-1.64413452e-03  3.04298306e+00],301,64,"[27809 27813 27833 28067 28069 28070 28074 28080 28082 28804 29013 29037
 29046 31805 31826 31836 31909 31939 31969 32270 32292 32325 32334 32336
 32337 32400 32411 32421 32430 32713 32717 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882
 32885 32909 32910 32912 32913 32925 32939 32941 33026 33063 33143 33154
 33814 33847 33862 33868]",301,0,663100,132248339901,518610135,132766950036,5.548313140869141
8,33930,8.312777519226074,3.8036088943481445,False,[ 5207. 33921. 33927.],[-0.06020069  0.10968208  4.45968723],[-0.06020069  0.04948139  4.50916862],301,46,"[ 1626  1630  1631  1632  1635  1639  1643  1691  4676  4677  4681  4689
  4690  4691  4693  4699  4787  5199  5201  5205  5207  5913  8627  8635
  8637  8639  8640  8642  8645  8649  8650  9349 10395 28472 29367 29372
 29373 29381 29384 29461 30498 30513 31530 33921 33927 33930]",301,0,638593,109736286568,745228208,110481514776,9.422619819641113
9,34098,7.164463996887207,2.981834888458252,False,[32894. 33798. 34093. 34022.],[2.2473135  0.94034958 0.         0.99496603],[2.2473135  3.18766308 3.18766308 4.18262911],301,64,"[31533 31557 31586 31593 31597 31599 31606 31609 31620 31623 31627 31682
 31707 31710 31742 31757 31774 31856 31908 31921 31954 32291 32320 32328
 32347 32369 32414 32424 32457 32599 32616 32621 32622 32894 32899 32961
 33030 33041 33042 33045 33058 33307 33316 33403 33417 33425 33455 33493
 33563 33600 33602 33657 33660 33682 33705 33793 33798 33867 33893 33943
 33964 34022 34093 34098]",301,0,633675,148762364444,374834799,149137199243,8.684549331665039
