,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31868,-1.7099794149398804,-1.7099794149398804,False,[],[],[],301,64,"[25087 25099 25214 25310 25550 25552 25664 25668 25692 25833 25896 25990
 26036 26044 26050 26060 26072 26522 26580 27204 27466 27481 27526 27702
 28636 28688 28979 28999 29366 29884 29890 29899 29920 29922 29945 30039
 30062 30070 30073 30198 30204 30227 30234 30407 30562 30618 30810 30816
 30820 30861 30899 30921 30940 30944 30997 31151 31153 31205 31244 31446
 31464 31809 31850 31868]",301,0,654652,161032741404,358479998,161391221402,-0.4409114718437195
1,32181,-0.7823169231414795,0.2845683693885803,True,[31537. 32022.],[0.70769286 0.35919243],[0.70769286 1.06688529],301,64,"[30847 30852 30854 30862 30866 30879 30882 30898 30909 30916 30919 30924
 30930 30934 30935 30954 30963 30967 30974 30977 30980 30984 30987 30988
 30992 30995 30999 31001 31031 31035 31042 31060 31069 31070 31125 31197
 31307 31359 31372 31382 31458 31537 31554 31562 31576 31666 31680 31684
 31734 31737 31749 31754 31760 31768 31777 31830 31840 32004 32012 32022
 32128 32132 32140 32181]",68,5,662074,175125573143,424508313,175550081456,-1.9864037036895752
2,32276,-0.4409114420413971,-0.4409114420413971,False,[],[],[],0,1,[32276],0,0,555355,0,2599268,2599268,-0.4409114718437195
3,32430,-3.9068386554718018,0.2699178457260132,True,[32421. 32411.],[3.33853972 0.83821678],[3.33853972 4.1767565 ],301,64,"[32078 32081 32083 32089 32090 32093 32112 32114 32115 32134 32135 32142
 32159 32160 32168 32172 32183 32188 32190 32191 32192 32193 32196 32197
 32199 32200 32201 32207 32215 32217 32222 32223 32226 32230 32234 32235
 32236 32238 32240 32248 32249 32250 32253 32259 32260 32265 32269 32270
 32292 32295 32301 32318 32325 32328 32334 32336 32337 32372 32393 32400
 32411 32421 32423 32430]",35,2,633848,102887490761,480295418,103367786179,-5.106493949890137
4,32799,-6.794382572174072,-0.08104674518108368,False,[32789. 32794. 32798. 32791. 32784. 32779. 32778. 32776. 32774. 32769.],"[1.64478779 2.19503164 0.         0.         0.         0.
 0.         2.75908987 0.         0.11442652]","[1.64478779 3.83981943 3.83981943 3.83981943 3.83981943 3.83981943
 3.83981943 6.5989093  6.5989093  6.71333583]",301,64,"[32613 32618 32625 32626 32628 32632 32642 32658 32660 32662 32665 32671
 32672 32674 32675 32677 32678 32680 32682 32685 32686 32688 32689 32692
 32693 32695 32698 32699 32700 32701 32704 32705 32712 32713 32717 32719
 32726 32727 32728 32733 32736 32738 32742 32743 32744 32748 32750 32751
 32752 32757 32759 32766 32767 32769 32774 32776 32778 32779 32784 32789
 32791 32794 32798 32799]",301,0,635893,93108619633,370509027,93479128660,-6.251681327819824
5,32986,-1.7409706115722656,-1.3909271955490112,False,[31802. 32939.],[0.30162764 0.04841578],[0.30162764 0.35004342],301,64,"[29914 29969 29996 30289 30382 30520 30694 30709 30730 30877 30962 30968
 31062 31126 31147 31184 31197 31219 31248 31269 31382 31411 31489 31492
 31495 31523 31642 31648 31660 31667 31672 31676 31691 31753 31778 31782
 31795 31802 31849 31850 31884 31904 32072 32271 32293 32399 32471 32477
 32525 32568 32625 32626 32756 32762 32774 32805 32817 32882 32899 32912
 32939 32955 32980 32986]",301,0,616845,162375577601,363904277,162739481878,-2.9454102516174316
6,33476,-3.6063392162323,-3.0600695610046387,False,[31891. 33379.],[-0.03244781  0.57871747],[-0.03244781  0.54626966],301,64,"[31846 31891 31903 31933 31949 31961 31965 32022 32128 32132 32140 32211
 32302 32310 32317 32328 32342 32389 32395 32405 32411 32415 32416 32418
 32419 32422 32427 32429 32432 32469 32506 32511 32521 32596 32666 32697
 32722 32761 32765 32771 32788 32793 32814 32860 32899 32929 32939 32980
 32982 33000 33027 33053 33065 33249 33252 33257 33309 33344 33371 33375
 33379 33391 33397 33476]",301,0,653462,148835288080,362349524,149197637604,-2.1376960277557373
7,33897,-1.0409342050552368,-0.4683070182800293,False,[33470. 33584. 33867. 33793. 33702.],[0.33710825 0.22383654 0.         0.         0.01168239],[0.33710825 0.5609448  0.5609448  0.5609448  0.57262719],301,64,"[32421 32430 32621 32711 32713 32717 32744 32748 32751 32752 32757 32776
 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882 32885
 32899 32909 32912 32913 32925 32939 32941 32961 33026 33063 33143 33154
 33219 33332 33337 33340 33342 33343 33350 33358 33360 33394 33396 33417
 33436 33440 33441 33447 33467 33470 33487 33555 33563 33584 33657 33702
 33707 33793 33867 33897]",301,0,639738,128136741432,381036907,128517778339,-0.08387178182601929
8,34132,-0.7918164730072021,-0.009503122419118881,False,[24727. 31419.],[0.09372091 0.68859244],[0.09372091 0.78231335],301,52,"[ 3163  3291  4219  4242  4772  4897  8587 10812 10953 10959 13534 13582
 13901 13986 14015 14405 15272 16050 16394 16560 16725 18125 18163 20469
 20532 20544 20558 20717 23125 24373 24377 24449 24458 24506 24552 24682
 24713 24727 25660 25701 25720 29681 29874 29910 31392 31419 31541 31659
 31686 33383 33398 34132]",301,0,619730,158627018472,758862024,159385880496,-0.9771267771720886
9,34503,-1.7965495586395264,-0.9963744878768921,False,[32103. 34177.],[0.25799131 0.54218376],[0.25799131 0.80017507],301,64,"[29370 29377 29444 29446 29453 29458 29477 29599 29601 29914 29964 29996
 30129 30164 30192 30202 30235 30240 30289 30382 30387 30457 30520 30694
 30747 30758 30792 30801 30810 30861 31184 31197 31359 31372 31411 31576
 31884 32096 32103 32568 32596 32817 32955 32980 33161 33181 33189 33192
 33194 33374 33635 34070 34094 34100 34104 34116 34124 34142 34147 34149
 34177 34266 34454 34503]",301,0,654971,157807489519,380092569,158187582088,-0.4409114718437195
