,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,cf_example_step,first_example_step,encountered_cf_examples,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31854,5.169069290161133,2.5496740341186523,False,[31536 31738 31822],[0.82229185 0.60469818 1.19240522],[0.82229185 1.42699003 2.61939526],301,64,"[27465 27482 27489 27494 27510 27516 27518 27523 27526 27527 27529 27533
 27539 27552 27575 27581 27626 27632 27635 27654 27663 27702 27758 27765
 27773 27779 27785 27788 27793 27809 27813 27864 27897 28090 28147 28671
 28683 28761 28875 28882 28891 28907 28909 28915 29135 29366 29740 29896
 30193 30407 30484 30499 30711 31194 31319 31382 31451 31489 31536 31606
 31738 31785 31822 31854]",301,301,0,3227586,146476697758,512030948,146988728706,6.531933784484863
1,32366,6.073734283447266,5.035828113555908,False,[32158 32326],[0.76561069 0.27229548],[0.76561069 1.03790617],301,46,"[31967 31971 31974 31976 31982 31985 31991 32002 32008 32019 32039 32041
 32044 32049 32052 32054 32056 32060 32062 32092 32094 32098 32099 32104
 32107 32120 32126 32129 32158 32162 32178 32182 32189 32205 32208 32220
 32225 32256 32267 32279 32282 32294 32306 32326 32329 32366]",301,301,0,1112232,101776039654,466011717,102242051371,7.276766777038574
2,32434,4.795733451843262,3.8416268825531006,False,[32184 32262],[0.72885036 0.2252562 ],[0.72885036 0.95410657],301,31,"[32074 32076 32088 32091 32101 32106 32122 32131 32141 32145 32154 32156
 32161 32170 32177 32184 32212 32216 32243 32245 32255 32257 32262 32303
 32312 32335 32353 32358 32370 32406 32434]",301,301,0,1086976,96388205947,400630373,96788836320,5.256620407104492
3,32466,5.537432670593262,3.6851298809051514,False,[31067 32451],[0.32047367 1.53182912],[0.32047367 1.85230279],301,64,"[22301 22305 22499 22534 22539 22543 22572 23525 23529 23534 23541 23546
 24760 24774 27308 27311 27335 27378 27384 27458 27460 27465 27482 27494
 27510 27516 27518 27523 27526 27529 27539 27552 27553 27575 27581 27626
 27632 27635 27702 27758 27765 27779 27785 27788 27793 27809 27813 28702
 28710 31000 31067 31589 32270 32292 32325 32334 32336 32337 32400 32411
 32421 32430 32451 32466]",301,301,0,1087707,134688143750,500583418,135188727168,6.683184623718262
4,32643,7.671715259552002,4.900530815124512,False,[32485 32610 32640],[ 0.09288025 -0.18226719  2.86057138],[ 0.09288025 -0.08938694  2.77118444],301,64,"[ 1557  1585  1757  1761  1786  1790  1806  1810  1814  1818  1917  1940
  1952  2048  2052  2258  2948  3921  4317  4537  4902  5924  5929  6076
  8204  8419  9446 10488 10534 10535 10705 10706 11069 12914 13053 13570
 14547 14897 15552 15628 16403 22735 25528 25530 25535 29265 29279 32311
 32327 32340 32346 32373 32398 32404 32407 32478 32485 32505 32519 32583
 32594 32610 32640 32643]",301,301,0,1091393,157980870089,503571124,158484441213,7.1990556716918945
5,32833,9.355759620666504,-0.4409114718437195,True,[32803  3086 32821 32792 32740 32739],[ 2.37985086  0.41543341  0.59809589  0.67397451 -1.66033363  7.38965005],[2.37985086 2.79528427 3.39338017 4.06735468 2.40702105 9.79667109],63,7,[ 3086 32739 32740 32792 32803 32821 32833],29,29,1,1015596,29785050503,1564073393,31349123896,7.62997579574585
6,33253,7.305933475494385,4.919923305511475,False,[32888 33227 33235],[ 0.17982483 -0.02436399  2.23054934],[0.17982483 0.15546083 2.38601017],301,64,"[31717 31727 32270 32292 32325 32334 32336 32337 32400 32411 32421 32430
 32689 32699 32713 32717 32726 32728 32743 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32828 32839 32844 32846 32866 32869
 32871 32880 32882 32885 32888 32901 32909 32912 32913 32925 32928 32939
 32941 32964 32967 32969 32973 32994 32997 33006 33036 33055 33066 33211
 33214 33227 33235 33253]",301,301,0,1125466,117019052976,501379325,117520432301,6.683292865753174
7,33868,8.572859764099121,5.529875755310059,False,[31805 33862],[-1.64413452e-03  3.04462814e+00],[-1.64413452e-03  3.04298401e+00],301,64,"[27809 27813 27833 28067 28069 28070 28074 28080 28082 28804 29013 29037
 29046 31805 31826 31836 31909 31939 31969 32270 32292 32325 32334 32336
 32337 32400 32411 32421 32430 32713 32717 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882
 32885 32909 32910 32912 32913 32925 32939 32941 33026 33063 33143 33154
 33814 33847 33862 33868]",301,301,0,1132739,135017090010,516586727,135533676737,5.548313617706299
8,33930,8.312775611877441,3.5478663444519043,False,[ 5207 33921 33927 29384 29372  8650  8649],"[-0.06020164  0.10968018  4.45968723 -0.56624794  0.16695404  0.33413696
  0.32090044]","[-0.06020164  0.04947853  4.50916576  3.94291782  4.10987186  4.44400883
  4.76490927]",301,46,"[ 1626  1630  1631  1632  1635  1639  1643  1691  4676  4677  4681  4689
  4690  4691  4693  4699  4787  5199  5201  5205  5207  5913  8627  8635
  8637  8639  8640  8642  8645  8649  8650  9349 10395 28472 29367 29372
 29373 29381 29384 29461 30498 30513 31530 33921 33927 33930]",301,301,0,1110374,112158139706,487208220,112645347926,9.599556922912598
9,34098,7.164463996887207,2.4741737842559814,False,[32894 33682 34022 33798],[2.2473135  0.10046768 1.50422287 0.83828616],[2.2473135  2.34778118 3.85200405 4.69029021],301,64,"[31533 31557 31586 31593 31597 31599 31606 31609 31620 31623 31627 31682
 31707 31710 31742 31757 31774 31856 31908 31921 31954 32291 32320 32328
 32347 32369 32414 32424 32457 32599 32616 32621 32622 32894 32899 32961
 33030 33041 33042 33045 33058 33307 33316 33403 33417 33425 33455 33493
 33563 33600 33602 33657 33660 33682 33705 33793 33798 33867 33893 33943
 33964 34022 34093 34098]",301,301,0,1123571,149563414973,522732319,150086147292,8.370293617248535
