,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31854,5.169068336486816,0.41481447219848633,False,[27489. 27494.],[3.79461193 0.95964193],[3.79461193 4.75425386],83,64,"[27465 27482 27489 27494 27510 27516 27518 27523 27526 27527 27529 27533
 27539 27552 27575 27581 27626 27632 27635 27654 27663 27702 27758 27765
 27773 27779 27785 27788 27793 27809 27813 27864 27897 28090 28147 28671
 28683 28761 28875 28882 28891 28907 28909 28915 29135 29366 29740 29896
 30193 30407 30484 30499 30711 31194 31319 31382 31451 31489 31536 31606
 31738 31785 31822 31854]",18233114051,33438489852,74700212,33513190064,-0.7908124327659607
1,32366,6.073734283447266,4.592465400695801,False,[31971. 32225.],[1.1864543  0.29481459],[1.1864543  1.48126888],65,46,"[31967 31971 31974 31976 31982 31985 31991 32002 32008 32019 32039 32041
 32044 32049 32052 32054 32056 32060 32062 32092 32094 32098 32099 32104
 32107 32120 32126 32129 32158 32162 32178 32182 32189 32205 32208 32220
 32225 32256 32267 32279 32282 32294 32306 32326 32329 32366]",7498154477,19833029186,20519424,19853548610,2.5017824172973633
2,32434,4.795732021331787,4.066882610321045,False,[32184.],[0.72884941],[0.72884941],40,31,"[32074 32076 32088 32091 32101 32106 32122 32131 32141 32145 32154 32156
 32161 32170 32177 32184 32212 32216 32243 32245 32255 32257 32262 32303
 32312 32335 32353 32358 32370 32406 32434]",2281834729,12024498318,11593120,12036091438,3.1926023960113525
3,32466,5.53743314743042,4.37755012512207,False,[32451. 32337.],[1.01952267 0.14036036],[1.01952267 1.15988302],83,64,"[22301 22305 22499 22534 22539 22543 22572 23525 23529 23534 23541 23546
 24760 24774 27308 27311 27335 27378 27384 27458 27460 27465 27482 27494
 27510 27516 27518 27523 27526 27529 27539 27552 27553 27575 27581 27626
 27632 27635 27702 27758 27765 27779 27785 27788 27793 27809 27813 28702
 28710 31000 31067 31589 32270 32292 32325 32334 32336 32337 32400 32411
 32421 32430 32451 32466]",15543480021,37325734326,26328472,37352062798,7.008204936981201
4,32643,7.67171573638916,3.574310064315796,False,[32640.  9446.  2258.],[1.34033108 2.68195629 0.0751183 ],[1.34033108 4.02228737 4.09740567],93,64,"[ 1557  1585  1757  1761  1786  1790  1806  1810  1814  1818  1917  1940
  1952  2048  2052  2258  2948  3921  4317  4537  4902  5924  5929  6076
  8204  8419  9446 10488 10534 10535 10705 10706 11069 12914 13053 13570
 14547 14897 15552 15628 16403 22735 25528 25530 25535 29265 29279 32311
 32327 32340 32346 32373 32398 32404 32407 32478 32485 32505 32519 32583
 32594 32610 32640 32643]",19244239013,49434659595,30663479,49465323074,8.366852760314941
5,32833,9.355757713317871,-0.22487454116344452,True,[32803.  3086. 32821. 32739. 32792. 32740.],[2.37984943 0.41543198 0.01148272 0.67655468 2.88336039 3.21395306],[2.37984943 2.79528141 2.80676413 3.48331881 6.36667919 9.58063225],21,7,[ 3086 32739 32740 32792 32803 32821 32833],1776267,55260785862,10295615,55271081477,7.629975318908691
6,33253,7.305932998657227,4.852049827575684,False,[33235. 33211. 33227.],[1.49899578 0.58400297 0.37088442],[1.49899578 2.08299875 2.45388317],93,64,"[31717 31727 32270 32292 32325 32334 32336 32337 32400 32411 32421 32430
 32689 32699 32713 32717 32726 32728 32743 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32828 32839 32844 32846 32866 32869
 32871 32880 32882 32885 32888 32901 32909 32912 32913 32925 32928 32939
 32941 32964 32967 32969 32973 32994 32997 33006 33036 33055 33066 33211
 33214 33227 33235 33253]",13040098787,33767916067,28604859,33796520926,8.552102088928223
7,33868,8.572858810424805,4.400229454040527,False,[33862. 27809.],[2.72761726 1.44501209],[2.72761726 4.17262936],83,64,"[27809 27813 27833 28067 28069 28070 28074 28080 28082 28804 29013 29037
 29046 31805 31826 31836 31909 31939 31969 32270 32292 32325 32334 32336
 32337 32400 32411 32421 32430 32713 32717 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882
 32885 32909 32910 32912 32913 32925 32939 32941 33026 33063 33143 33154
 33814 33847 33862 33868]",16421633325,32249721841,27222432,32276944273,5.363308906555176
8,33930,8.312777519226074,3.8500616550445557,False,[33927.  8627.  1630. 29384.  4677.  4689.],"[2.90948963e+00 6.74069881e-01 5.68742752e-01 2.52560139e-01
 1.31416321e-03 5.65392971e-02]",[2.90948963 3.58355951 4.15230227 4.4048624  4.40617657 4.46271586],105,46,"[ 1626  1630  1631  1632  1635  1639  1643  1691  4676  4677  4681  4689
  4690  4691  4693  4699  4787  5199  5201  5205  5207  5913  8627  8635
  8637  8639  8640  8642  8645  8649  8650  9349 10395 28472 29367 29372
 29373 29381 29384 29461 30498 30513 31530 33921 33927 33930]",7586883967,43901047386,32374025,43933421411,9.599509239196777
9,34098,7.164463996887207,4.326382637023926,False,[31599.],[2.83808136],[2.83808136],73,64,"[31533 31557 31586 31593 31597 31599 31606 31609 31620 31623 31627 31682
 31707 31710 31742 31757 31774 31856 31908 31921 31954 32291 32320 32328
 32347 32369 32414 32424 32457 32599 32616 32621 32622 32894 32899 32961
 33030 33041 33042 33045 33058 33307 33316 33403 33417 33425 33455 33493
 33563 33600 33602 33657 33660 33682 33705 33793 33798 33867 33893 33943
 33964 34022 34093 34098]",18617058655,30206884271,23920338,30230804609,-0.4409114718437195
