,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31854,5.169068336486816,2.422964334487915,False,[31822. 31785. 27489.],[0.82742739 1.68004608 0.23863053],[0.82742739 2.50747347 2.746104  ],40,64,"[27465 27482 27489 27494 27510 27516 27518 27523 27526 27527 27529 27533
 27539 27552 27575 27581 27626 27632 27635 27654 27663 27702 27758 27765
 27773 27779 27785 27788 27793 27809 27813 27864 27897 28090 28147 28671
 28683 28761 28875 28882 28891 28907 28909 28915 29135 29366 29740 29896
 30193 30407 30484 30499 30711 31194 31319 31382 31451 31489 31536 31606
 31738 31785 31822 31854]",102628,12483276932,12740858,12496017790,5.364940643310547
1,32366,6.073734283447266,4.582668781280518,False,[32158. 32326.],[0.76705408 0.72401142],[0.76705408 1.4910655 ],30,46,"[31967 31971 31974 31976 31982 31985 31991 32002 32008 32019 32039 32041
 32044 32049 32052 32054 32056 32060 32062 32092 32094 32098 32099 32104
 32107 32120 32126 32129 32158 32162 32178 32182 32189 32205 32208 32220
 32225 32256 32267 32279 32282 32294 32306 32326 32329 32366]",81704,8848539813,9355382,8857895195,7.276766777038574
2,32434,4.795732021331787,3.7442800998687744,False,[32131. 32177.],[0.53946304 0.51198888],[0.53946304 1.05145192],30,31,"[32074 32076 32088 32091 32101 32106 32122 32131 32141 32145 32154 32156
 32161 32170 32177 32184 32212 32216 32243 32245 32255 32257 32262 32303
 32312 32335 32353 32358 32370 32406 32434]",73542,8967311051,9741699,8977052750,5.072112083435059
3,32466,5.53743314743042,3.1901156902313232,False,[27460. 27335.],[0.17888308 2.16843438],[0.17888308 2.34731746],30,64,"[22301 22305 22499 22534 22539 22543 22572 23525 23529 23534 23541 23546
 24760 24774 27308 27311 27335 27378 27384 27458 27460 27465 27482 27494
 27510 27516 27518 27523 27526 27529 27539 27552 27553 27575 27581 27626
 27632 27635 27702 27758 27765 27779 27785 27788 27793 27809 27813 28702
 28710 31000 31067 31589 32270 32292 32325 32334 32336 32337 32400 32411
 32421 32430 32451 32466]",89236,10307689792,9734409,10317424201,-0.4409114718437195
4,32643,7.67171573638916,4.160776138305664,False,[29279. 32327. 32594. 32640. 32505.],[1.02291679 0.40423393 0.42288685 0.31747246 1.34342957],[1.02291679 1.42715073 1.85003757 2.16751003 3.5109396 ],60,64,"[ 1557  1585  1757  1761  1786  1790  1806  1810  1814  1818  1917  1940
  1952  2048  2052  2258  2948  3921  4317  4537  4902  5924  5929  6076
  8204  8419  9446 10488 10534 10535 10705 10706 11069 12914 13053 13570
 14547 14897 15552 15628 16403 22735 25528 25530 25535 29265 29279 32311
 32327 32340 32346 32373 32398 32404 32407 32478 32485 32505 32519 32583
 32594 32610 32640 32643]",87268,18987518025,18551146,19006069171,7.646461486816406
5,32833,9.355757713317871,-0.22487454116344452,True,[32803.  3086. 32821. 32739. 32792. 32740.],[2.37984943 0.41543198 0.01148272 0.67655468 2.88336039 3.21395306],[2.37984943 2.79528141 2.80676413 3.48331881 6.36667919 9.58063225],21,7,[ 3086 32739 32740 32792 32803 32821 32833],87916,55260785862,17960010,55278745872,7.629975318908691
6,33253,7.305932998657227,5.921831130981445,False,[32728. 32743.],[0.58211803 0.80198383],[0.58211803 1.38410187],30,64,"[31717 31727 32270 32292 32325 32334 32336 32337 32400 32411 32421 32430
 32689 32699 32713 32717 32726 32728 32743 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32828 32839 32844 32846 32866 32869
 32871 32880 32882 32885 32888 32901 32909 32912 32913 32925 32928 32939
 32941 32964 32967 32969 32973 32994 32997 33006 33036 33055 33066 33211
 33214 33227 33235 33253]",79341,9903472304,9903963,9913376267,5.229765892028809
7,33868,8.572858810424805,4.584596633911133,False,[32810. 31836. 33862. 29046.],[0.67752171 1.40616608 1.18950748 0.71506691],[0.67752171 2.08368778 3.27319527 3.98826218],50,64,"[27809 27813 27833 28067 28069 28070 28074 28080 28082 28804 29013 29037
 29046 31805 31826 31836 31909 31939 31969 32270 32292 32325 32334 32336
 32337 32400 32411 32421 32430 32713 32717 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882
 32885 32909 32910 32912 32913 32925 32939 32941 33026 33063 33143 33154
 33814 33847 33862 33868]",85192,15639837174,15901518,15655738692,7.180258750915527
8,33930,8.312777519226074,6.830726623535156,False,[8645.],[1.4820509],[1.4820509],20,46,"[ 1626  1630  1631  1632  1635  1639  1643  1691  4676  4677  4681  4689
  4690  4691  4693  4699  4787  5199  5201  5205  5207  5913  8627  8635
  8637  8639  8640  8642  8645  8649  8650  9349 10395 28472 29367 29372
 29373 29381 29384 29461 30498 30513 31530 33921 33927 33930]",89277,7149046822,7054122,7156100944,5.313812255859375
9,34098,7.164463996887207,4.226325988769531,False,[34022. 33682.],[2.00655508 0.93158293],[2.00655508 2.93813801],30,64,"[31533 31557 31586 31593 31597 31599 31606 31609 31620 31623 31627 31682
 31707 31710 31742 31757 31774 31856 31908 31921 31954 32291 32320 32328
 32347 32369 32414 32424 32457 32599 32616 32621 32622 32894 32899 32961
 33030 33041 33042 33045 33058 33307 33316 33403 33417 33425 33455 33493
 33563 33600 33602 33657 33660 33682 33705 33793 33798 33867 33893 33943
 33964 34022 34093 34098]",90749,9347765522,9876710,9357642232,5.557076454162598
10,34904,6.979183197021484,5.68576717376709,False,[33869. 34882. 32885.],[0.4813118  0.01256704 0.79953718],[0.4813118  0.49387884 1.29341602],40,64,"[31229 31238 31241 31246 31260 31311 31322 32270 32292 32325 32334 32336
 32337 32400 32411 32421 32430 32713 32717 32744 32748 32751 32752 32757
 32776 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882
 32885 32909 32912 32913 32925 32939 32941 33384 33437 33653 33848 33849
 33852 33857 33858 33866 33869 34867 34868 34872 34873 34877 34882 34883
 34885 34888 34895 34904]",83877,12423624454,12905382,12436529836,5.801881313323975
