,explained_event_id,original_prediction,counterfactual_prediction,achieves_counterfactual_explanation,cf_example_event_ids,cf_example_absolute_importances,cf_example_raw_importances,oracle_calls,candidate_size,candidates,init_duration,oracle_call_duration,explanation_duration,total_duration,prediction_explanation_events_only
0,31868,-1.709980845451355,-0.3433961868286133,False,[28636. 31809. 27481. 31244. 31446. 31153. 31151.],"[0.68572319 0.29123116 0.15258455 0.01756763 0.20356131 0.01289511
 0.00302172]","[0.68572319 0.97695434 1.12953889 1.14710653 1.35066783 1.36356294
 1.36658466]",80,64,"[25087 25099 25214 25310 25550 25552 25664 25668 25692 25833 25896 25990
 26036 26044 26050 26060 26072 26522 26580 27204 27466 27481 27526 27702
 28636 28688 28979 28999 29366 29884 29890 29899 29920 29922 29945 30039
 30062 30070 30073 30198 30204 30227 30234 30407 30562 30618 30810 30816
 30820 30861 30899 30921 30940 30944 30997 31151 31153 31205 31244 31446
 31464 31809 31850 31868]",85361,28679422189,45353432,28724775621,-3.4600911140441895
1,32181,-0.7823169231414795,0.06470942497253418,True,[31537.],[0.84702635],[0.84702635],10,64,"[30847 30852 30854 30862 30866 30879 30882 30898 30909 30916 30919 30924
 30930 30934 30935 30954 30963 30967 30974 30977 30980 30984 30987 30988
 30992 30995 30999 31001 31031 31035 31042 31060 31069 31070 31125 31197
 31307 31359 31372 31382 31458 31537 31554 31562 31576 31666 31680 31684
 31734 31737 31749 31754 31760 31768 31777 31830 31840 32004 32012 32022
 32128 32132 32140 32181]",72978,4217536282,6773470,4224309752,-1.986403465270996
2,32276,-0.4409114718437195,-0.4409114718437195,False,[],[],[],0,1,[32276],107683,0,5679161,5679161,-0.4409114718437195
3,32430,-3.9068379402160645,0.2631934881210327,True,[32421. 32411.],[3.31994307 0.85008836],[3.31994307 4.17003143],20,64,"[32078 32081 32083 32089 32090 32093 32112 32114 32115 32134 32135 32142
 32159 32160 32168 32172 32183 32188 32190 32191 32192 32193 32196 32197
 32199 32200 32201 32207 32215 32217 32222 32223 32226 32230 32234 32235
 32236 32238 32240 32248 32249 32250 32253 32259 32260 32265 32269 32270
 32292 32295 32301 32318 32325 32328 32334 32336 32337 32372 32393 32400
 32411 32421 32423 32430]",69522,6250531715,12895446,6263427161,-5.106494426727295
4,32799,-6.794382572174072,0.2509550154209137,True,[32789. 32794. 32776.],[2.29758024 0.82409668 3.92366067],[2.29758024 3.12167692 7.04533759],30,64,"[32613 32618 32625 32626 32628 32632 32642 32658 32660 32662 32665 32671
 32672 32674 32675 32677 32678 32680 32682 32685 32686 32688 32689 32692
 32693 32695 32698 32699 32700 32701 32704 32705 32712 32713 32717 32719
 32726 32727 32728 32733 32736 32738 32742 32743 32744 32748 32750 32751
 32752 32757 32759 32766 32767 32769 32774 32776 32778 32779 32784 32789
 32791 32794 32798 32799]",62318,8525517793,18382894,8543900687,-6.251681327819824
5,32986,-1.7409706115722656,-0.9660881161689758,False,[31642. 31802. 32762. 32882. 32912.],[0.0929817  0.37891567 0.20089483 0.03937006 0.06272024],[0.0929817  0.47189736 0.6727922  0.71216226 0.7748825 ],60,64,"[29914 29969 29996 30289 30382 30520 30694 30709 30730 30877 30962 30968
 31062 31126 31147 31184 31197 31219 31248 31269 31382 31411 31489 31492
 31495 31523 31642 31648 31660 31667 31672 31676 31691 31753 31778 31782
 31795 31802 31849 31850 31884 31904 32072 32271 32293 32399 32471 32477
 32525 32568 32625 32626 32756 32762 32774 32805 32817 32882 32899 32912
 32939 32955 32980 32986]",71234,25726922330,33540528,25760462858,-0.5450191497802734
6,33476,-3.606339931488037,-3.171508312225342,False,[33344. 33391.],[0.42831373 0.00651789],[0.42831373 0.43483162],30,64,"[31846 31891 31903 31933 31949 31961 31965 32022 32128 32132 32140 32211
 32302 32310 32317 32328 32342 32389 32395 32405 32411 32415 32416 32418
 32419 32422 32427 32429 32432 32469 32506 32511 32521 32596 32666 32697
 32722 32761 32765 32771 32788 32793 32814 32860 32899 32929 32939 32980
 32982 33000 33027 33053 33065 33249 33252 33257 33309 33344 33371 33375
 33379 33391 33397 33476]",77055,9715318131,17435502,9732753633,-1.6866700649261475
7,33897,-1.0409352779388428,-1.0409352779388428,False,[],[],[],10,64,"[32421 32430 32621 32711 32713 32717 32744 32748 32751 32752 32757 32776
 32789 32794 32799 32800 32810 32839 32844 32846 32866 32869 32882 32885
 32899 32909 32912 32913 32925 32939 32941 32961 33026 33063 33143 33154
 33219 33332 33337 33340 33342 33343 33350 33358 33360 33394 33396 33417
 33436 33440 33441 33447 33467 33470 33487 33555 33563 33584 33657 33702
 33707 33793 33867 33897]",69591,3668702858,7043477,3675746335,-0.4409114718437195
8,34132,-0.7918169498443604,-0.7918169498443604,False,[],[],[],10,52,"[ 3163  3291  4219  4242  4772  4897  8587 10812 10953 10959 13534 13582
 13901 13986 14015 14405 15272 16050 16394 16560 16725 18125 18163 20469
 20532 20544 20558 20717 23125 24373 24377 24449 24458 24506 24552 24682
 24713 24727 25660 25701 25720 29681 29874 29910 31392 31419 31541 31659
 31686 33383 33398 34132]",72026,18697294841,5749744,18703044585,-0.4409114718437195
9,34503,-1.7965502738952637,-0.06146329268813133,False,[34116. 34104. 32817. 30202.],[0.51091266 0.44311166 0.59476876 0.1862939 ],[0.51091266 0.95402431 1.54879308 1.73508698],50,64,"[29370 29377 29444 29446 29453 29458 29477 29599 29601 29914 29964 29996
 30129 30164 30192 30202 30235 30240 30289 30382 30387 30457 30520 30694
 30747 30758 30792 30801 30810 30861 31184 31197 31359 31372 31411 31576
 31884 32096 32103 32568 32596 32817 32955 32980 33161 33181 33189 33192
 33194 33374 33635 34070 34094 34100 34104 34116 34124 34142 34147 34149
 34177 34266 34454 34503]",81844,37139235739,30770277,37170006016,-1.0470490455627441
10,36091,-2.7957675457000732,-2.490394353866577,False,[32558.],[0.30537319],[0.30537319],20,64,"[32411 32421 32430 32474 32504 32553 32558 32568 32574 32576 32601 32686
 32713 32717 32744 32748 32751 32752 32757 32776 32789 32794 32799 32800
 32810 32839 32844 32846 32866 32869 32882 32885 32909 32912 32913 32925
 32939 32941 32955 33109 33110 33608 33925 33926 33950 34149 34266 34372
 34738 34755 34778 34817 35146 35148 35501 35579 35635 35694 35829 35833
 35935 35941 35974 36091]",68199,6086260799,13605962,6099866761,0.870686948299408
11,36104,-1.367647647857666,0.18915081024169922,True,[26041. 26020. 26006. 25970.],[1.0708673  0.11138427 0.17778021 0.19676667],[1.0708673  1.18225157 1.36003179 1.55679846],40,64,"[16489 16495 16496 16504 16528 16554 17398 19104 20799 20802 20807 20892
 25567 25581 25587 25640 25655 25662 25666 25674 25681 25689 25756 25777
 25781 25810 25813 25827 25831 25834 25839 25865 25879 25883 25888 25959
 25960 25966 25970 26006 26015 26020 26029 26033 26037 26041 28782 28784
 30429 30446 30477 30482 30496 30601 30643 30776 30788 30803 30845 31028
 31140 33101 34430 36104]",66366,263518203880,21975215,263540179095,-1.912466049194336
12,36277,-0.4409114718437195,-0.4409114718437195,False,[],[],[],0,1,[36277],66746,0,5238488,5238488,-0.4409114718437195
13,36972,-2.464811325073242,-0.6485790014266968,False,[5816. 5754. 5787.],[1.65610528 0.12947011 0.03065693],[1.65610528 1.78557539 1.81623232],40,64,"[ 3263  3265  3268  3269  3271  3275  3276  3277  3279  3280  3285  3288
  3290  3292  3293  3296  3297  3300  3302  3303  3309  3312  3334  3335
  3344  3352  3359  3577  3579  5591  5615  5620  5639  5640  5657  5661
  5676  5691  5693  5697  5698  5704  5706  5711  5714  5715  5724  5728
  5754  5787  5799  5804  5805  5807  5808  5812  5813  5816  5841  6436
  6442  6445  7492 36972]",63891,18745294715,17499540,18762794255,-3.028749942779541
14,37241,-0.0008382461965084076,0.10505610704421997,True,[35109.],[0.10589435],[0.10589435],10,64,"[32885 32899 32909 32912 32913 32924 32925 32939 32941 32961 33075 33123
 33132 33140 33160 33221 33263 33417 33563 33657 33793 33867 34093 34106
 34151 34205 34362 34370 34378 34384 34387 34394 34755 34968 35019 35061
 35109 35236 35263 35331 35417 35501 35546 35547 35550 35577 35829 35848
 35890 35991 36305 36352 36482 36487 36516 36563 36567 36569 36628 36634
 36868 37033 37040 37241]",64692,16266025841,6630384,16272656225,1.6572024822235107
