,explained_event_id,event_ids,event_importances,original_score,oracle_calls,candidate_size,candidates,sparsity,fidelity,best fidelity,oracle_call_duration,explanation_duration,init_duration,total_duration
0,31854,"[28909, 25841, 27533, 31738, 31822, 28671, 26198, 26445, 27654, 26531, 25769, 26028, 28683, 27482, 31785, 27864, 25878, 26281, 27527, 25634, 26548, 31194, 26166, 31536, 27489, 25612, 26419, 26193, 26399, 26301]","[0.051415372639894485, 0.04443962126970291, -0.008543871343135834, -0.020503908395767212, -0.02179902046918869, -0.0442427396774292, -0.051381900906562805, -0.05326703190803528, -0.06937137246131897, -0.07134084403514862, -0.08107462525367737, -0.09280285239219666, -0.09444831311702728, -0.097460076212883, -0.10017134249210358, -0.10829246044158936, -0.10900186002254486, -0.1099233627319336, -0.11100475490093231, -0.11924971640110016, -0.12328742444515228, -0.12681980431079865, -0.12972308695316315, -0.14164461195468903, -0.1488662213087082, -0.16983965039253235, -0.17229841649532318, -0.20666684210300446, -0.25233447551727295, -0.2566338777542114]",2.6828980445861816,0,30,"[28909 25841 27533 31738 31822 28671 26198 26445 27654 26531 25769 26028
 28683 27482 31785 27864 25878 26281 27527 25634 26548 31194 26166 31536
 27489 25612 26419 26193 26399 26301]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[ 0.94059849  0.94059849  0.54209352  0.79207659  0.63436341  0.63436341
  0.47830677  0.47830677  0.45759487  0.42809081  0.30867481  0.30867481
 -0.14384198 -0.14384198 -0.255301   -0.255301    0.02656507  0.02656507
  0.02656507  0.02656507  0.02656507]","[0.94059849 0.94059849 0.94059849 0.94059849 0.94059849 0.94059849
 0.94059849 0.94059849 0.94059849 0.94059849 0.94059849 0.94059849
 0.94059849 0.94059849 0.94059849 0.94059849 0.94059849 0.94059849
 0.94059849 0.94059849 0.94059849]",0,50345555,2688924121,2739269676
1,32366,"[32120, 32256, 32279, 32126, 32282, 32098, 32162, 32054, 32056, 32099, 32062, 32107, 32060, 32182, 32225, 32294, 32158, 32220, 32208, 32094, 32329, 32189, 32104, 32306, 32129, 32205, 32092, 32178, 32267, 32326]","[0.1746215671300888, 0.13552924990653992, 0.13262955844402313, 0.12815967202186584, 0.1205892488360405, 0.11920437216758728, 0.09516839683055878, 0.09340007603168488, 0.09093242138624191, 0.08734726160764694, 0.0820607990026474, 0.07802367210388184, 0.07667499780654907, 0.06761475652456284, 0.05302274227142334, 0.05246514827013016, 0.04555226117372513, 0.0385318249464035, 0.02655443549156189, 0.02327006310224533, 0.014857955276966095, 0.008834674954414368, 0.00684380903840065, -0.008677065372467041, -0.016142189502716064, -0.022165685892105103, -0.034062325954437256, -0.03406316041946411, -0.04818762093782425, -0.07026268541812897]",3.7963171005249023,0,30,"[32120 32256 32279 32126 32282 32098 32162 32054 32056 32099 32062 32107
 32060 32182 32225 32294 32158 32220 32208 32094 32329 32189 32104 32306
 32129 32205 32092 32178 32267 32326]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[ 1.03186083  0.10629225 -0.06639695 -0.19994903 -0.19232178 -0.1989212
 -0.23178911 -0.233531   -0.3055253  -0.32116795 -0.52950668 -0.47667432
 -0.2332921  -0.22823    -0.22345781 -0.2527225  -0.07518125 -0.21529388
 -0.21625137 -0.15816951  0.        ]","[1.03186083 1.03186083 1.03186083 1.03186083 1.03186083 1.03186083
 1.03186083 1.03186083 1.03186083 1.03186083 1.03186083 1.03186083
 1.03186083 1.03186083 1.03186083 1.03186083 1.03186083 1.03186083
 1.03186083 1.03186083 1.03186083]",0,8804334,15601573,24405907
2,32434,"[32262, 32074, 32076, 32370, 32161, 32177, 32170, 32145, 32131, 32303, 32101, 32184, 32353, 32122, 32358, 32106, 32216, 32212, 32156, 32154, 32088, 32245, 32312, 32091, 32255, 32141, 32335, 32257, 32243, 32406]","[0.08927931636571884, 0.08296899497509003, 0.07888610661029816, 0.0738496407866478, 0.06910426169633865, 0.06040984392166138, 0.0460115447640419, 0.04513595253229141, 0.04305709898471832, 0.042515434324741364, 0.03929991275072098, 0.03671012073755264, 0.03337058797478676, 0.03265208378434181, 0.032135624438524246, 0.03143563121557236, 0.009239856153726578, -0.0001475512981414795, -0.0012239441275596619, -0.010662920773029327, -0.012360647320747375, -0.029941082000732422, -0.039457790553569794, -0.05078081041574478, -0.05180751532316208, -0.06570883095264435, -0.07213500142097473, -0.07994557917118073, -0.09454073011875153, -0.12712757289409637]",3.7022647857666016,0,30,"[32262 32074 32076 32370 32161 32177 32170 32145 32131 32303 32101 32184
 32353 32122 32358 32106 32216 32212 32156 32154 32088 32245 32312 32091
 32255 32141 32335 32257 32243 32406]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-2.18081105 -2.18081105 -1.28455257 -1.29509163 -0.04290318  0.43563366
  0.43377304  0.37517977  0.3898716   0.3297987   0.33623695  0.28974605
  0.19970703  0.23217225  0.24895716  0.18610525 -0.01016378  0.00863767
  0.01273751  0.01289701  0.        ]","[-2.18081105 -2.18081105 -1.28455257 -1.28455257 -0.04290318  0.43563366
  0.43563366  0.43563366  0.43563366  0.43563366  0.43563366  0.43563366
  0.43563366  0.43563366  0.43563366  0.43563366  0.43563366  0.43563366
  0.43563366  0.43563366  0.43563366]",0,9748671,15726327,25474998
3,32466,"[12155, 32451, 31067, 32421, 12114, 15404, 23529, 28702, 23541, 23546, 12165, 12159, 12122, 13800, 12163, 12125, 23525, 12091, 23534, 12027, 12253, 13786, 12211, 28710, 12202, 12100, 13803, 12095, 12186, 12215]","[0.17839238047599792, 0.15782511234283447, 0.15446287393569946, 0.13806122541427612, 0.13015207648277283, 0.12865060567855835, 0.1274649053812027, 0.12310401350259781, 0.11792705953121185, 0.11657801270484924, 0.11483649909496307, 0.11414855718612671, 0.10487111657857895, 0.10348553955554962, 0.10302910208702087, 0.10109737515449524, 0.08523941040039062, 0.07880240678787231, 0.07580672204494476, 0.07015485316514969, 0.05958113074302673, 0.0587497279047966, 0.05710975080728531, 0.05657172203063965, 0.0552874356508255, 0.05435818433761597, 0.05222827196121216, 0.05026537925004959, 0.04895658791065216, 0.0410858616232872]",3.42215633392334,0,30,"[12155 32451 31067 32421 12114 15404 23529 28702 23541 23546 12165 12159
 12122 13800 12163 12125 23525 12091 23534 12027 12253 13786 12211 28710
 12202 12100 13803 12095 12186 12215]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-0.1212492  -0.10360217 -0.23549318 -0.23549318 -0.23549318 -0.01209092
 -0.01209092 -0.01209092 -0.01209092 -0.01209092 -0.01209092 -0.01209092
 -0.01209092 -0.01209092 -0.01209092 -0.01209092  0.03776407  0.03776407
  0.03776407  0.03776407  0.03776407]","[-0.1212492  -0.10360217 -0.10360217 -0.10360217 -0.10360217 -0.01209092
 -0.01209092 -0.01209092 -0.01209092 -0.01209092 -0.01209092 -0.01209092
 -0.01209092 -0.01209092 -0.01209092 -0.01209092  0.03776407  0.03776407
  0.03776407  0.03776407  0.03776407]",0,10086563,15990083,26076646
4,32643,"[32478, 369, 32583, 32519, 32505, 32398, 32485, 32404, 32610, 32311, 32346, 32340, 32327, 32407, 32594, 32373, 32640]","[0.28904032707214355, 0.2733546495437622, 0.21444082260131836, 0.2069259136915207, 0.17710329592227936, 0.15768839418888092, 0.1493041217327118, 0.14746613800525665, 0.12456593662500381, 0.10514628887176514, 0.0900869071483612, 0.0472303107380867, 0.03936196118593216, 0.033807478845119476, 0.024668972939252853, -0.009781867265701294, -0.05992048233747482]",3.6484766006469727,0,17,"[32478   369 32583 32519 32505 32398 32485 32404 32610 32311 32346 32340
 32327 32407 32594 32373 32640]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[ 1.30942917  1.30942917  0.08923435  0.14903402 -0.37156081 -0.38351059
 -0.34900713 -0.34900713 -0.95538902 -0.33708763 -0.15307856 -0.32140398
 -0.26322174 -0.18277216 -0.18277216  0.2513442   0.25035238  0.10192728
  0.10022449  0.          0.        ]","[1.30942917 1.30942917 1.30942917 1.30942917 1.30942917 1.30942917
 1.30942917 1.30942917 1.30942917 1.30942917 1.30942917 1.30942917
 1.30942917 1.30942917 1.30942917 1.30942917 1.30942917 1.30942917
 1.30942917 1.30942917 1.30942917]",0,8969801,12958265,21928066
5,32833,"[32740, 32792, 32803, 32821, 3086, 32739]","[0.22194403409957886, 0.17153675854206085, 0.16669189929962158, 0.10332780331373215, 0.09422042965888977, 0.08567994087934494]",1.7843605279922485,0,6,[32740 32792 32803 32821  3086 32739],"[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[ 1.75795758  1.75795758  1.75795758  1.75795758  2.6479305   2.6479305
  2.6479305   2.36032903  2.36032903  2.36032903  2.08907831  2.08907831
  2.08907831  2.08907831 -0.27562511 -0.27562511 -0.27562511  0.
  0.          0.          0.        ]","[1.75795758 1.75795758 1.75795758 1.75795758 2.6479305  2.6479305
 2.6479305  2.6479305  2.6479305  2.6479305  2.6479305  2.6479305
 2.6479305  2.6479305  2.6479305  2.6479305  2.6479305  2.6479305
 2.6479305  2.6479305  2.6479305 ]",0,7337549,11167061,18504610
6,33253,"[32728, 31717, 31727, 33227, 33036, 32726, 32828, 32973, 32967, 31714, 32888, 32901, 33055, 32928, 31674, 33066, 32689, 31683, 33235, 32994, 32880, 32964, 33214, 32871, 33006, 32743, 32997, 32699, 32969, 33211]","[0.18595892190933228, 0.15160080790519714, 0.1434936821460724, 0.13656377792358398, 0.13084331154823303, 0.12439971417188644, 0.11918630450963974, 0.11335060745477676, 0.11087537556886673, 0.10084037482738495, 0.09921376407146454, 0.09757394343614578, 0.09552522003650665, 0.09218651056289673, 0.07870062440633774, 0.07755714654922485, 0.06925703585147858, 0.0673581063747406, 0.06543899327516556, 0.05591459944844246, 0.052193403244018555, 0.0401180237531662, 0.026983167976140976, 0.022658981382846832, 0.02125285565853119, 0.021073952317237854, 0.016366809606552124, 0.015234071761369705, 0.0032954141497612, -0.07423128187656403]",3.3531923294067383,0,30,"[32728 31717 31727 33227 33036 32726 32828 32973 32967 31714 32888 32901
 33055 32928 31674 33066 32689 31683 33235 32994 32880 32964 33214 32871
 33006 32743 32997 32699 32969 33211]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[ 0.14031553  0.14031553  0.6745882   0.18241525 -0.00322008 -0.00449133
 -0.11501551 -0.31984162 -0.27176094 -0.34145308 -0.36000443 -0.36114478
  0.61226726  0.65714312  0.54478741  0.69945097  0.64197159  0.62818813
  0.48215723  0.12655401  0.        ]","[0.14031553 0.14031553 0.6745882  0.6745882  0.6745882  0.6745882
 0.6745882  0.6745882  0.6745882  0.6745882  0.6745882  0.6745882
 0.6745882  0.6745882  0.6745882  0.69945097 0.69945097 0.69945097
 0.69945097 0.69945097 0.69945097]",0,10110459,16093260,26203719
7,33868,"[22935, 31826, 25679, 22901, 31939, 25566, 21248, 31805, 33862, 25742, 25713, 23036, 22274, 29013, 33847, 23009, 31909, 31836, 25611, 22920, 25597, 29037, 33814, 29046, 25696, 25667, 31969, 25758, 25995, 28804]","[0.13496769964694977, 0.1202080249786377, 0.11626017838716507, 0.10887661576271057, 0.1023707166314125, 0.0980878546833992, 0.09610007703304291, 0.06785257160663605, 0.0605529323220253, 0.058637529611587524, 0.057033706456422806, 0.05018627271056175, 0.04845507815480232, 0.04653441905975342, 0.042748868465423584, 0.03000793606042862, 0.024768739938735962, 0.023514486849308014, 0.021188892424106598, 0.02000410482287407, 0.019098587334156036, -0.006069555878639221, -0.01421789824962616, -0.030479811131954193, -0.038256362080574036, -0.05888238549232483, -0.07148633897304535, -0.10265089571475983, -0.11773620545864105, -0.11840902268886566]",3.532224178314209,0,30,"[22935 31826 25679 22901 31939 25566 21248 31805 33862 25742 25713 23036
 22274 29013 33847 23009 31909 31836 25611 22920 25597 29037 33814 29046
 25696 25667 31969 25758 25995 28804]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-0.5411787  -0.03590941 -1.09332323 -0.22473145  0.0689621  -0.03829288
 -0.00637436 -0.10126138 -0.14073181 -0.33297586 -0.31364155 -0.28686237
  0.32346106  0.32282495  0.22949457  0.24501681 -0.23234177  0.08521557
 -0.01322246 -0.11108971  0.        ]","[-0.5411787  -0.03590941 -0.03590941 -0.03590941  0.0689621   0.0689621
  0.0689621   0.0689621   0.0689621   0.0689621   0.0689621   0.0689621
  0.32346106  0.32346106  0.32346106  0.32346106  0.32346106  0.32346106
  0.32346106  0.32346106  0.32346106]",0,10086406,15699397,25785803
8,33930,"[29381, 29461, 29372, 4699, 5913, 8642, 31530, 28472, 8627, 29373, 8645, 9349, 5201, 8640, 33921, 5199, 29384, 8637, 8650, 33927, 5205, 4787, 30513, 8635, 8649, 29367, 30498, 5207, 8639, 10395]","[0.18135860562324524, 0.1751069724559784, 0.17160825431346893, 0.1710200309753418, 0.16916108131408691, 0.16556432843208313, 0.16276401281356812, 0.1570427119731903, 0.15085431933403015, 0.14740806818008423, 0.14204458892345428, 0.13177695870399475, 0.12988629937171936, 0.12340797483921051, 0.113277368247509, 0.11074860394001007, 0.10812736302614212, 0.10493871569633484, 0.10311046987771988, 0.10260698944330215, 0.08212477713823318, 0.07054698467254639, 0.06624322384595871, 0.053243234753608704, 0.050335705280303955, 0.0314575731754303, 0.02747977524995804, 0.01636940985918045, 0.009111221879720688, 0.006188001483678818]",3.7234678268432617,0,30,"[29381 29461 29372  4699  5913  8642 31530 28472  8627 29373  8645  9349
  5201  8640 33921  5199 29384  8637  8650 33927  5205  4787 30513  8635
  8649 29367 30498  5207  8639 10395]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-0.51757073 -0.51757073 -2.25493979 -2.31163418 -1.99850523 -2.06506062
 -1.70874047 -0.71270752 -1.88667071 -1.4861517  -1.58715987 -1.29302573
 -0.75730515 -0.6441071  -1.13587379 -1.19138288 -0.53882122 -0.57031178
 -0.270576    0.01075888  0.        ]","[-0.51757073 -0.51757073 -0.51757073 -0.51757073 -0.51757073 -0.51757073
 -0.51757073 -0.51757073 -0.51757073 -0.51757073 -0.51757073 -0.51757073
 -0.51757073 -0.51757073 -0.51757073 -0.51757073 -0.51757073 -0.51757073
 -0.270576    0.01075888  0.01075888]",0,9661475,14799770,24461245
9,34098,"[32457, 32424, 34022, 33943, 31774, 33600, 32622, 33455, 33705, 31954, 33602, 32894, 33893, 31856, 33042, 33403, 31921, 33493, 33964, 32616, 33798, 33682, 33058, 33660, 32414, 31908, 33425, 32320, 32599, 33045]","[0.09614606946706772, 0.08189675211906433, 0.05516690015792847, 0.04416147619485855, 0.04372193664312363, 0.0160038061439991, 0.009539734572172165, 0.008302543312311172, -0.00351039320230484, -0.003512166440486908, -0.005528122186660767, -0.011959835886955261, -0.013448596000671387, -0.020857617259025574, -0.025299713015556335, -0.026638157665729523, -0.02852568030357361, -0.03570454567670822, -0.036770619451999664, -0.046035297214984894, -0.054553233087062836, -0.060515567660331726, -0.07640527188777924, -0.07677741348743439, -0.07821568846702576, -0.0858754962682724, -0.09877751767635345, -0.1080566942691803, -0.10936430096626282, -0.12938223779201508]",2.9767603874206543,0,30,"[32457 32424 34022 33943 31774 33600 32622 33455 33705 31954 33602 32894
 33893 31856 33042 33403 31921 33493 33964 32616 33798 33682 33058 33660
 32414 31908 33425 32320 32599 33045]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-0.96366787 -0.96366787 -1.28446007 -1.28446007 -1.10268748 -1.14994085
 -1.31783819 -0.62228084 -0.53037763 -0.53037763 -1.12202895 -1.12202895
 -1.10244036 -0.40594053 -0.24482346  0.21096873 -0.18391919 -0.18391919
 -0.16126919 -0.14876986  0.        ]","[-0.96366787 -0.96366787 -0.96366787 -0.96366787 -0.96366787 -0.96366787
 -0.96366787 -0.62228084 -0.53037763 -0.53037763 -0.53037763 -0.53037763
 -0.53037763 -0.40594053 -0.24482346  0.21096873  0.21096873  0.21096873
  0.21096873  0.21096873  0.21096873]",0,9554948,14150313,23705261
