,explained_event_id,event_ids,event_importances,original_score,oracle_calls,candidate_size,candidates,sparsity,fidelity,best fidelity,oracle_call_duration,explanation_duration,init_duration,total_duration
0,31868,"[10515, 19583, 10522, 13395, 14368, 10527, 10524, 25664, 27204, 25214, 10699, 10498, 24985, 28636, 21381, 27481, 31809, 20251, 15558, 10637, 20562, 30820, 24980, 10642, 27466, 24837, 30816, 10496, 26522, 21294]","[0.14480848610401154, 0.08240749686956406, 0.056006453931331635, 0.055278580635786057, 0.03671244531869888, 0.03048340044915676, 0.02137557417154312, 0.013718482106924057, 0.013308754190802574, 0.011678431183099747, 0.010071211494505405, 0.007334250491112471, 0.00550388777628541, -0.01156349666416645, -0.02328839711844921, -0.026864102110266685, -0.04285115376114845, -0.04332733526825905, -0.043750569224357605, -0.047120239585638046, -0.04877970740199089, -0.0493609756231308, -0.06538842618465424, -0.0871184840798378, -0.09130898863077164, -0.091350257396698, -0.09666276723146439, -0.10613621026277542, -0.1494847983121872, -0.41842907667160034]",2.132748603820801,0,30,"[10515 19583 10522 13395 14368 10527 10524 25664 27204 25214 10699 10498
 24985 28636 21381 27481 31809 20251 15558 10637 20562 30820 24980 10642
 27466 24837 30816 10496 26522 21294]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-1.28121138 -0.94288564 -0.94288564 -0.94288564 -0.94288564 -0.66507494
 -0.51031518 -0.51031518 -0.40133476 -0.1620028   0.00424457 -0.0854516
  0.15659189  0.15659189  0.15321898  0.08887053  0.0492909   0.03762627
  0.05874157 -0.00390959 -0.04818201]","[-1.28121138 -0.94288564 -0.94288564 -0.94288564 -0.94288564 -0.66507494
 -0.51031518 -0.51031518 -0.40133476 -0.1620028   0.00424457  0.00424457
  0.15659189  0.15659189  0.15659189  0.15659189  0.15659189  0.15659189
  0.15659189  0.15659189  0.15659189]",0,50338263,2694623973,2744962236
1,32181,"[31666, 31070, 31060, 31001, 31031, 31680, 31768, 31749, 30987, 31458, 31069, 32012, 31554, 30999, 31562, 31197, 31042, 31537, 31125, 30988, 31382, 31684, 31754, 32004, 31734, 31737, 31035, 30995, 30992, 31307]","[0.09571406990289688, 0.09325512498617172, 0.0900227501988411, 0.08916442096233368, 0.0853039026260376, 0.07286366075277328, 0.061634112149477005, 0.053692352026700974, 0.052897702902555466, 0.048851337283849716, 0.04760054498910904, 0.045293357223272324, 0.04096633568406105, 0.039567407220602036, 0.0358472540974617, 0.03266618773341179, 0.0326201431453228, 0.03259894251823425, 0.03182074800133705, 0.02060934342443943, 0.018382908776402473, 0.01530470885336399, 0.008181614801287651, 0.003353843931108713, -0.00203945254907012, -0.006549125071614981, -0.043090496212244034, -0.045025501400232315, -0.06147897616028786, -0.10548392683267593]",0.13986116647720337,0,30,"[31666 31070 31060 31001 31031 31680 31768 31749 30987 31458 31069 32012
 31554 30999 31562 31197 31042 31537 31125 30988 31382 31684 31754 32004
 31734 31737 31035 30995 30992 31307]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-0.26097028 -0.26097028 -0.26097028 -0.26097028  0.3342427   0.2295348
  0.25089291  0.28877386  0.24026719  0.24081725  0.26945299  0.24978659
  0.22906399  0.22906399  0.22911245 -0.23015428 -0.13930422  0.03668851
  0.01802081  0.00630456  0.        ]","[-0.26097028 -0.26097028 -0.26097028 -0.26097028  0.3342427   0.3342427
  0.3342427   0.3342427   0.3342427   0.3342427   0.3342427   0.3342427
  0.3342427   0.3342427   0.3342427   0.3342427   0.3342427   0.3342427
  0.3342427   0.3342427   0.3342427 ]",0,8869869,14891733,23761602
2,32430,"[31391, 32337, 31286, 31278, 31211, 32334, 32336, 32089, 32328, 31293, 32270, 32411, 31271, 31067, 32190, 31209, 30225, 31216, 31335, 32400, 32292, 31245, 31564, 31875, 31173, 31106, 32325, 30565, 32421, 31223]","[0.11657892912626266, 0.09460128843784332, 0.0793733075261116, 0.07522616535425186, 0.07522249221801758, 0.06605596840381622, 0.047708358615636826, 0.027015002444386482, 0.023352125659585, 0.02154535986483097, 0.0210984218865633, 0.018794318661093712, -0.0022018789313733578, -0.01832188479602337, -0.020373841747641563, -0.022399460896849632, -0.027869151905179024, -0.028915485367178917, -0.0321306549012661, -0.037921737879514694, -0.03882771357893944, -0.04006905481219292, -0.04290337860584259, -0.08649123460054398, -0.10317326337099075, -0.11101135611534119, -0.11491727828979492, -0.11562560498714447, -0.11879893392324448, -0.11964759975671768]",1.8336806297302246,0,30,"[31391 32337 31286 31278 31211 32334 32336 32089 32328 31293 32270 32411
 31271 31067 32190 31209 30225 31216 31335 32400 32292 31245 31564 31875
 31173 31106 32325 30565 32421 31223]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[ 0.57695389  0.84071946  0.84071946  0.84071946  0.88436818  0.88436818
  0.88436818  0.57045197  0.7085495   0.7085495   0.7085495   0.7085495
  0.7085495   0.60435653  0.34945011  0.34878802  0.36797237  0.36919212
  0.20259261 -0.02909648  0.        ]","[0.57695389 0.84071946 0.84071946 0.84071946 0.88436818 0.88436818
 0.88436818 0.88436818 0.88436818 0.88436818 0.88436818 0.88436818
 0.88436818 0.88436818 0.88436818 0.88436818 0.88436818 0.88436818
 0.88436818 0.88436818 0.88436818]",0,11807397,18694862,30502259
3,32799,"[32474, 32337, 32601, 32713, 32411, 32794, 32717, 32751, 32336, 32671, 32334, 32678, 32748, 32752, 32400, 32789, 32757, 32607, 32776, 32576, 32430, 32553, 32328, 32586, 32558, 32421, 32744, 32325, 32504, 32574]","[0.24355146288871765, 0.23833532631397247, 0.2323993742465973, 0.2002885788679123, 0.1903453767299652, 0.17968778312206268, 0.17723913490772247, 0.17601604759693146, 0.17282642424106598, 0.1646886169910431, 0.15752753615379333, 0.14890410006046295, 0.14833036065101624, 0.14398767054080963, 0.14249290525913239, 0.14186449348926544, 0.1267099231481552, 0.1266380399465561, 0.11238418519496918, 0.11045848578214645, 0.1079748123884201, 0.10673268884420395, 0.10189981013536453, 0.09793419390916824, 0.09025414288043976, 0.0740979015827179, 0.049851637333631516, 0.03654830902814865, 0.025083113461732864, -0.07459711283445358]",1.5327129364013672,0,30,"[32474 32337 32601 32713 32411 32794 32717 32751 32336 32671 32334 32678
 32748 32752 32400 32789 32757 32607 32776 32576 32430 32553 32328 32586
 32558 32421 32744 32325 32504 32574]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[0.98367143 0.68311405 0.70184374 0.95944691 0.68425465 0.9999814
 0.97633934 1.10790777 1.26922274 1.23376608 1.24962997 1.29386711
 1.24091887 1.24834728 1.16828966 1.16387272 1.16044664 0.9521122
 0.10029602 0.05831981 0.        ]","[0.98367143 0.98367143 0.98367143 0.98367143 0.98367143 0.9999814
 0.9999814  1.10790777 1.26922274 1.26922274 1.26922274 1.29386711
 1.29386711 1.29386711 1.29386711 1.29386711 1.29386711 1.29386711
 1.29386711 1.29386711 1.29386711]",0,11778501,17733812,29512313
4,32986,"[23114, 32477, 22224, 32626, 23101, 22397, 32762, 22150, 22106, 23384, 25051, 31642, 31802, 22543, 22384, 24812, 26937, 23128, 25393, 26938, 24689, 24763, 25924, 22007, 22228, 32625, 22388, 22123, 26261, 31795]","[0.12650100886821747, 0.12009576708078384, 0.11793351918458939, 0.11244296282529831, 0.11207400262355804, 0.11097407341003418, 0.1044134721159935, 0.10435240715742111, 0.10318045318126678, 0.0930565670132637, 0.08728308230638504, 0.08596819639205933, 0.08471166342496872, 0.07779515534639359, 0.0759248211979866, 0.0664220079779625, 0.06354300677776337, 0.050245266407728195, 0.04709234461188316, 0.04459644854068756, 0.04225948825478554, 0.038877516984939575, 0.032149411737918854, 0.0289610605686903, 0.02096548303961754, 0.002096055541187525, -0.015813900157809258, -0.02327476255595684, -0.04692699387669563, -0.09867315739393234]",2.1088764667510986,0,30,"[23114 32477 22224 32626 23101 22397 32762 22150 22106 23384 25051 31642
 31802 22543 22384 24812 26937 23128 25393 26938 24689 24763 25924 22007
 22228 32625 22388 22123 26261 31795]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-1.68411231 -1.68411231 -1.56843996 -1.57821202 -1.6979233  -1.6979233
 -1.6979233  -2.03259003 -2.08473163 -2.07981449 -2.08218014 -1.82393327
 -1.84982944 -1.24683058 -0.88537002 -0.89009082 -0.89532936 -0.89768624
 -0.49574125 -0.09395528  0.        ]","[-1.68411231 -1.68411231 -1.56843996 -1.56843996 -1.56843996 -1.56843996
 -1.56843996 -1.56843996 -1.56843996 -1.56843996 -1.56843996 -1.56843996
 -1.56843996 -1.24683058 -0.88537002 -0.88537002 -0.88537002 -0.88537002
 -0.49574125 -0.09395528  0.        ]",0,9549047,14204515,23753562
5,33476,"[32982, 32793, 32416, 33000, 32389, 32469, 32929, 32761, 32432, 32765, 33379, 32788, 32899, 33344, 32419, 32418, 32429, 32317, 32771, 32395, 32422, 32342, 33065, 32405, 32980, 32814, 32415, 32427, 33371, 32697]","[0.14576826989650726, 0.08263028413057327, 0.0777859017252922, 0.05508832633495331, 0.05293107032775879, 0.04960168898105621, 0.04768303409218788, 0.0407143235206604, 0.03940874710679054, 0.03406079486012459, 0.03052097000181675, 0.025430286303162575, 0.010869752615690231, 0.009678423404693604, 0.008827613666653633, 0.006920004729181528, -0.0036469674669206142, -0.00409297039732337, -0.005313554313033819, -0.005412749480456114, -0.009537646546959877, -0.019150590524077415, -0.02373473346233368, -0.03175695240497589, -0.03730613365769386, -0.039368730038404465, -0.046803057193756104, -0.04786604270339012, -0.053809795528650284, -0.0748467892408371]",2.5657262802124023,0,30,"[32982 32793 32416 33000 32389 32469 32929 32761 32432 32765 33379 32788
 32899 33344 32419 32418 32429 32317 32771 32395 32422 32342 33065 32405
 32980 32814 32415 32427 33371 32697]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[0.1165204  0.1165204  0.1165204  0.1165204  0.1165204  0.1165204
 0.1165204  0.12603235 0.12603235 0.1081419  0.10402393 0.09926605
 0.04099298 0.04099298 0.04298306 0.0431118  0.04460835 0.04595566
 0.0486021  0.04699492 0.        ]","[0.1165204  0.1165204  0.1165204  0.1165204  0.1165204  0.1165204
 0.1165204  0.12603235 0.12603235 0.12603235 0.12603235 0.12603235
 0.12603235 0.12603235 0.12603235 0.12603235 0.12603235 0.12603235
 0.12603235 0.12603235 0.12603235]",0,8829548,14435273,23264821
6,33897,"[33487, 33702, 33360, 26148, 33337, 33436, 24519, 31767, 33343, 27522, 28135, 33358, 28136, 33342, 31821, 28289, 31644, 26173, 33707, 28392, 28384, 31808, 33440, 33340, 33332, 33447, 33350, 26160, 26159, 31744]","[0.033868011087179184, 0.0021378793753683567, -0.005714563187211752, -0.006057006772607565, -0.007328627165406942, -0.008954605087637901, -0.016979871317744255, -0.019716773182153702, -0.03138626739382744, -0.03531127795577049, -0.04604346677660942, -0.05012485757470131, -0.05111014470458031, -0.05176982656121254, -0.052927084267139435, -0.05342378094792366, -0.05688377097249031, -0.06196633353829384, -0.0664839819073677, -0.0668857991695404, -0.07412677258253098, -0.07962984591722488, -0.08189074695110321, -0.08578602224588394, -0.08668345957994461, -0.08692126721143723, -0.09512057900428772, -0.09728547185659409, -0.10036265105009079, -0.1753372699022293]",3.5829544067382812,0,30,"[33487 33702 33360 26148 33337 33436 24519 31767 33343 27522 28135 33358
 28136 33342 31821 28289 31644 26173 33707 28392 28384 31808 33440 33340
 33332 33447 33350 26160 26159 31744]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-0.84647489 -0.66169548 -0.67231679 -1.01839566 -0.94689131 -1.14782667
 -0.856498   -0.856498   -0.85788655 -0.63919258 -0.64279485 -0.61852646
 -0.53699613 -0.41588116 -0.6476624  -0.27904439  0.05572987  0.02937388
  0.04923105  0.04923105 -0.07025933]","[-0.84647489 -0.66169548 -0.66169548 -0.66169548 -0.66169548 -0.66169548
 -0.66169548 -0.66169548 -0.66169548 -0.63919258 -0.63919258 -0.61852646
 -0.53699613 -0.41588116 -0.41588116 -0.27904439  0.05572987  0.05572987
  0.05572987  0.05572987  0.05572987]",0,10243461,15973555,26217016
7,34132,"[29910, 29681, 4897, 24506, 24682, 24449, 4242, 31392, 24552, 29874, 24713, 23125, 31686, 31659, 24458, 31419, 31541, 24727, 24373, 24377, 15272, 14405]","[0.29373255372047424, 0.2810967266559601, 0.23350059986114502, 0.2331133335828781, 0.20224221050739288, 0.18676558136940002, 0.15593773126602173, 0.14388976991176605, 0.12801161408424377, 0.12706194818019867, 0.12040410935878754, 0.10441914945840836, 0.09482721984386444, 0.09456946700811386, 0.0693664699792862, 0.06255950778722763, 0.06138484552502632, 0.05328572914004326, -0.015437891706824303, -0.023752575740218163, -0.06809594482183456, -0.1635570079088211]",-1.2315328121185303,0,22,"[29910 29681  4897 24506 24682 24449  4242 31392 24552 29874 24713 23125
 31686 31659 24458 31419 31541 24727 24373 24377 15272 14405]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-2.97728372 -3.06317663 -3.06317663 -2.70958555 -2.10329223 -2.00523955
 -2.00523955 -2.09908247 -2.03667343 -1.78862798 -1.40488517 -1.08321393
 -1.03858253 -0.57957423 -0.52499872 -0.39347041 -0.1052711  -0.17821693
 -0.41454983 -0.16024232 -0.11419773]","[-2.97728372 -2.97728372 -2.97728372 -2.70958555 -2.10329223 -2.00523955
 -2.00523955 -2.00523955 -2.00523955 -1.78862798 -1.40488517 -1.08321393
 -1.03858253 -0.57957423 -0.52499872 -0.39347041 -0.1052711  -0.1052711
 -0.1052711  -0.1052711  -0.1052711 ]",0,7891206,11779936,19671142
8,34503,"[22741, 30758, 34104, 18193, 34116, 25825, 26305, 18148, 26864, 22834, 34094, 22720, 24198, 22813, 19504, 30801, 18198, 22865, 26781, 22860, 34100, 25178, 30202, 18094, 33635, 30235, 32817, 30792, 31576, 19010]","[0.07842450588941574, 0.07459461688995361, 0.07301253825426102, 0.060307521373033524, 0.051804330199956894, 0.04822469502687454, 0.04362994804978371, 0.03803424909710884, 0.033339451998472214, 0.03256119787693024, 0.03202084079384804, 0.03109157830476761, 0.029132626950740814, 0.026449071243405342, 0.017521018162369728, 0.012405740097165108, 0.005136384163051844, -0.014663049951195717, -0.016586264595389366, -0.028137153014540672, -0.030890686437487602, -0.04003330320119858, -0.041046541184186935, -0.04720098897814751, -0.04875319451093674, -0.05474885180592537, -0.06958038359880447, -0.07074549049139023, -0.09377735108137131, -0.11782394349575043]",3.259805679321289,0,30,"[22741 30758 34104 18193 34116 25825 26305 18148 26864 22834 34094 22720
 24198 22813 19504 30801 18198 22865 26781 22860 34100 25178 30202 18094
 33635 30235 32817 30792 31576 19010]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-0.29080653 -0.32547355 -0.283427   -0.24026966 -0.24026966 -0.24026966
 -0.24026966 -0.23586845 -0.23586845 -0.23586845 -0.17244101 -0.17244101
 -0.17244101 -0.17244101 -0.16228747 -0.04877973 -0.01684046 -0.18560696
 -0.07131386 -0.0273838  -0.0273838 ]","[-0.29080653 -0.29080653 -0.283427   -0.24026966 -0.24026966 -0.24026966
 -0.24026966 -0.23586845 -0.23586845 -0.23586845 -0.17244101 -0.17244101
 -0.17244101 -0.17244101 -0.16228747 -0.04877973 -0.01684046 -0.01684046
 -0.01684046 -0.01684046 -0.01684046]",0,8718974,12865563,21584537
9,36091,"[32474, 32601, 29535, 32748, 32007, 28275, 32070, 32165, 32232, 30177, 32300, 32050, 35148, 29591, 32186, 32553, 29703, 32576, 31000, 32032, 35146, 32152, 32110, 32558, 32146, 32504, 29579, 31997, 32574, 32254]","[0.03458455577492714, 0.015129746869206429, -0.009625134989619255, -0.02140350267291069, -0.021691707894206047, -0.023439867421984673, -0.029432469978928566, -0.03466719761490822, -0.039195187389850616, -0.07456154376268387, -0.07911256700754166, -0.08161979913711548, -0.08381374180316925, -0.08537226915359497, -0.09474793076515198, -0.09586372971534729, -0.09735731035470963, -0.10732699185609818, -0.10959208756685257, -0.11377204209566116, -0.11608551442623138, -0.12838618457317352, -0.12964117527008057, -0.13172541558742523, -0.1530158817768097, -0.16478586196899414, -0.1805037409067154, -0.18650148808956146, -0.20025815069675446, -0.24782223999500275]",-0.39289504289627075,0,30,"[32474 32601 29535 32748 32007 28275 32070 32165 32232 30177 32300 32050
 35148 29591 32186 32553 29703 32576 31000 32032 35146 32152 32110 32558
 32146 32504 29579 31997 32574 32254]","[0.   0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
 0.7  0.75 0.8  0.85 0.9  0.95 1.  ]","[-2.40239006 -1.73328096 -1.24881744 -1.24881744 -1.24881744 -0.78168273
 -0.57710302 -0.36715621 -0.16868031 -0.16868031  0.42996901  0.42996901
  0.50413805  0.50413805 -0.39754093 -0.39754093  0.13524973  0.13793713
  0.13793713  0.6128003   0.3323949 ]","[-2.40239006 -1.73328096 -1.24881744 -1.24881744 -1.24881744 -0.78168273
 -0.57710302 -0.36715621 -0.16868031 -0.16868031  0.42996901  0.42996901
  0.50413805  0.50413805  0.50413805  0.50413805  0.50413805  0.50413805
  0.50413805  0.6128003   0.6128003 ]",0,8738333,13223187,21961520
